row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,VND103.293.248.207,VND103.293.248.207,VND291.695.198.046,VND291.695.198.046,,,,
a) Các khoản phải trả người bán ngắn hạn là bên liên quan,Phải trả người bán ngắn hạn > a) Các khoản phải trả người bán ngắn hạn là bên liên quan,a) Các khoản phải trả người bán ngắn hạn là bên liên quan,49.571.381.417,49.571.381.417,-,-,49571381417.0,49571381417.0,,
Khách hàng của Công ty Cổ phần VTKT Nông nghiệp Cần Thơ (Hợp nhất),Phải trả người bán ngắn hạn > Khách hàng của Công ty Cổ phần VTKT Nông nghiệp Cần Thơ (Hợp nhất),Khách hàng của Công ty Cổ phần VTKT Nông nghiệp Cần Thơ (Hợp nhất),49.571.381.417,49.571.381.417,-,-,49571381417.0,49571381417.0,,
+Công ty Cổ phần Nước khoáng Khánh Hòa,Phải trả người bán ngắn hạn > +Công ty Cổ phần Nước khoáng Khánh Hòa,+Công ty Cổ phần Nước khoáng Khánh Hòa,20.335.645.732,20.335.645.732,-,-,20335645732.0,20335645732.0,,
+Công ty CP TM Sản xuất và Dịch vụ Sao Nam,Phải trả người bán ngắn hạn > +Công ty CP TM Sản xuất và Dịch vụ Sao Nam,+Công ty CP TM Sản xuất và Dịch vụ Sao Nam,29.235.735.685,29.235.735.685,-,-,29235735685.0,29235735685.0,,
b) Các khoản phải trả người bán ngắn hạn khác,Phải trả người bán ngắn hạn > b) Các khoản phải trả người bán ngắn hạn khác,b) Các khoản phải trả người bán ngắn hạn khác,53.721.866.790,53.721.866.790,291.695.198.046,291.695.198.046,53721866790.0,53721866790.0,291695198046.0,291695198046.0
Khách hàng của Công ty CP tập đoàn F.I.T - Công ty Mệ,Phải trả người bán ngắn hạn > Khách hàng của Công ty CP tập đoàn F.I.T - Công ty Mệ,Khách hàng của Công ty CP tập đoàn F.I.T - Công ty Mệ,712.759.117,712.759.117,161.593.618.766,161.593.618.766,712759117.0,712759117.0,161593618766.0,161593618766.0
Khách hàng của Công ty Cổ phần VTKT Nông nghiệp Cần Thơ (Hợp nhất),Phải trả người bán ngắn hạn > Khách hàng của Công ty Cổ phần VTKT Nông nghiệp Cần Thơ (Hợp nhất),Khách hàng của Công ty Cổ phần VTKT Nông nghiệp Cần Thơ (Hợp nhất),13.825.737.178,13.825.737.178,98.859.333.152,98.859.333.152,13825737178.0,13825737178.0,98859333152.0,98859333152.0
Ông Chu Thanh Quân - Khách hàng TSC (Hợp nhất),Phải trả người bán ngắn hạn > Ông Chu Thanh Quân - Khách hàng TSC (Hợp nhất),Ông Chu Thanh Quân - Khách hàng TSC (Hợp nhất),14.999.600.000,14.999.600.000,-,-,14999600000.0,14999600000.0,,
Khách hàng của Công ty CP Dược phẩm Cửu Long (Hợp nhất),Phải trả người bán ngắn hạn > Khách hàng của Công ty CP Dược phẩm Cửu Long (Hợp nhất),Khách hàng của Công ty CP Dược phẩm Cửu Long (Hợp nhất),24.175.970.495,24.175.970.495,31.226.695.262,31.226.695.262,24175970495.0,24175970495.0,31226695262.0,31226695262.0
Khách hàng của Công ty Cổ phần XNK và TM F.I.T Việt Nam,Phải trả người bán ngắn hạn > Khách hàng của Công ty Cổ phần XNK và TM F.I.T Việt Nam,Khách hàng của Công ty Cổ phần XNK và TM F.I.T Việt Nam,-,-,15.550.866,15.550.866,,,15550866.0,15550866.0
Công ty Cổ phần Đầu tư Bất động sản F.I.T,Phải trả người bán ngắn hạn > Công ty Cổ phần Đầu tư Bất động sản F.I.T,Công ty Cổ phần Đầu tư Bất động sản F.I.T,7.800.000,7.800.000,-,-,7800000.0,7800000.0,,
