row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Bản quyền, bằng sáng chế",Bộ thương hiệu thuộc BVTV,Phần mềm máy tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế",numeric__Bộ thương hiệu thuộc BVTV,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày đầu năm,NGUYÊN GIÁ > Tại ngày đầu năm,Tại ngày đầu năm,43.378.718.810,136.363.635,20.200.000.000,775.616.700,-,64.490.699.145,43378718810.0,136363635.0,20200000000.0,775616700.0,,64490699145.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,-,-,80.000.000,988.680.000,1.068.680.000,,,,80000000.0,988680000.0,1068680000.0
- Tăng khác (i),NGUYÊN GIÁ > - Tăng khác (i),- Tăng khác (i),63.000.000.000,-,-,-,-,63.000.000.000,63000000000.0,,,,,63000000000.0
- Giảm do thoái vốn khởi TSP,NGUYÊN GIÁ > - Giảm do thoái vốn khởi TSP,- Giảm do thoái vốn khởi TSP,-,-,(20.200.000.000),-,-,(20.200.000.000),,,-20200000000.0,,,-20200000000.0
Tại ngày cuối năm,NGUYÊN GIÁ > Tại ngày cuối năm,Tại ngày cuối năm,106.378.718.810,136.363.635,-,855.616.700,988.680.000,108.359.379.145,106378718810.0,136363635.0,,855616700.0,988680000.0,108359379145.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Tại ngày đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày đầu năm,Tại ngày đầu năm,-,136.363.635,2.524.999.996,275.479.097,-,2.936.842.728,,136363635.0,2524999996.0,275479097.0,,2936842728.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,1.437.067.908,-,2.019.999.996,129.352.909,8.238.999,3.594.659.812,1437067908.0,,2019999996.0,129352909.0,8238999.0,3594659812.0
- Giảm do thoái vốn khởi TSP,GIÁ TRỊ HAO MÒN LỦY KẾ > - Giảm do thoái vốn khởi TSP,- Giảm do thoái vốn khởi TSP,-,-,(4.544.999.992),-,-,(4.544.999.992),,,-4544999992.0,,,-4544999992.0
Tại ngày cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày cuối năm,Tại ngày cuối năm,1.437.067.908,136.363.635,-,404.832.006,8.238.999,1.986.502.548,1437067908.0,136363635.0,,404832006.0,8238999.0,1986502548.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,43.378.718.810,-,17.675.000.004,500.137.603,-,61.553.856.417,43378718810.0,,17675000004.0,500137603.0,,61553856417.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,104.941.650.902,-,-,450.784.694,980.441.001,106.372.876.597,104941650902.0,,,450784694.0,980441001.0,106372876597.0
