row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,VND,VND,,
Lợi nhuận để tính lãi cơ bản trên cổ phiếu (i),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (i),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (i),112.029.561.244,239.891.770.431,112029561244.0,239891770431.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,112.029.561.244,245.265.052.084,112029561244.0,245265052084.0
Lợi nhuận dùng trích quỹ khen thưởng phúc lợi,Lợi nhuận dùng trích quỹ khen thưởng phúc lợi,Lợi nhuận dùng trích quỹ khen thưởng phúc lợi,-,(5.373.281.653),,-5373281653.0
Lãi vay cho trái phiếu chuyển đổi,Lãi vay cho trái phiếu chuyển đổi,Lãi vay cho trái phiếu chuyển đổi,-,3.206.603.774,,3206603774.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,-,705.452.831,,705452831.0
Lợi nhuận để tính lãi suy giảm trên cổ phiếu,Lợi nhuận để tính lãi suy giảm trên cổ phiếu,Lợi nhuận để tính lãi suy giảm trên cổ phiếu,-,242.392.921.374,,242392921374.0
Số cổ phiếu bình quân gia quyền của cổ phiếu phổ thông để tính lãi trên cổ phiếu,Số cổ phiếu bình quân gia quyền của cổ phiếu phổ thông để tính lãi trên cổ phiếu,Số cổ phiếu bình quân gia quyền của cổ phiếu phổ thông để tính lãi trên cổ phiếu,189.494.561,141.699.963,189494561.0,141699963.0
Ảnh hưởng của các cổ phiếu phổ thông tiềm năng- Trái phiếu có thể chuyển đổi,Ảnh hưởng của các cổ phiếu phổ thông tiềm năng- Trái phiếu có thể chuyển đổi,Ảnh hưởng của các cổ phiếu phổ thông tiềm năng- Trái phiếu có thể chuyển đổi,-,5.424.658,,5424658.0
Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi trên cổ phiếu suy giảm,Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi trên cổ phiếu suy giảm,Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi trên cổ phiếu suy giảm,-,147.124.621,,147124621.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,591,1.693,591.0,1693.0
Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,-,1.648,,1648.0
Mệnh giá trên mỗi cổ phiếu (VND),Mệnh giá trên mỗi cổ phiếu (VND),Mệnh giá trên mỗi cổ phiếu (VND),10.000,10.000,10000.0,10000.0
