row_label_raw,row_label_full,col_0,31/12/2017 > Tỷ lệ %sở hữu,31/12/2017 > Tỷ lệ %quyền biểu quyết,31/12/2017 > Giá gốcVND,31/12/2017 > Dự phòngVND,31/12/2017 > Giá trị hợp lýVND,31/12/2017 > Tỷ lệ %sở hữu_1,1/1/2017 > Tỷ lệ %quyền biểu quyết,1/1/2017 > Giá gốcVND,1/1/2017 > Dự phòngVND,numeric__31/12/2017 > Tỷ lệ %sở hữu,numeric__31/12/2017 > Tỷ lệ %quyền biểu quyết,numeric__31/12/2017 > Giá gốcVND,numeric__31/12/2017 > Dự phòngVND,numeric__31/12/2017 > Giá trị hợp lýVND,numeric__31/12/2017 > Tỷ lệ %sở hữu_1,numeric__1/1/2017 > Tỷ lệ %quyền biểu quyết,numeric__1/1/2017 > Giá gốcVND,numeric__1/1/2017 > Dự phòngVND
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,,,,
▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,,,,,,,,,
• Công ty CP Đầu tư Khoáng sản An Thông,▪ Công ty con > • Công ty CP Đầu tư Khoáng sản An Thông,• Công ty CP Đầu tư Khoáng sản An Thông,"99,96%","99,96%",845.030.800.000,-,,"99,96%","99,96%",845.030.800.000,(93.386.346.727),0.9995999999999999,0.9995999999999999,845030800000.0,,,0.9995999999999999,0.9995999999999999,845030800000.0,-93386346727.0
• Công ty CP Năng lượng Hòa Phát (i),▪ Công ty con > • Công ty CP Năng lượng Hòa Phát (i),• Công ty CP Năng lượng Hòa Phát (i),-,-,-,-,,"99,89%","99,89%",1.238.350.000.000,-,,,,,,0.9989,0.9989,1238350000000.0,
• Công ty CP Thép Hòa Phát Hải Dương (trước dây là Công ty CP Thép Hòa Phát) (ii),▪ Công ty con > • Công ty CP Thép Hòa Phát Hải Dương (trước dây là Công ty CP Thép Hòa Phát) (ii),• Công ty CP Thép Hòa Phát Hải Dương (trước dây là Công ty CP Thép Hòa Phát) (ii),"99,99%","99,99%",3.595.924.000.000,-,,"99,99%","99,99%",2.595.924.000.000,-,0.9998999999999999,0.9998999999999999,3595924000000.0,,,0.9998999999999999,0.9998999999999999,2595924000000.0,
• Công ty CP Thép Hòa Phát Dung Quất (iii),▪ Công ty con > • Công ty CP Thép Hòa Phát Dung Quất (iii),• Công ty CP Thép Hòa Phát Dung Quất (iii),"98,67%","98,67%",14.800.000.000.000,-,,-,-,-,-,0.9867,0.9867,14800000000000.0,,,,,,
• Công ty TNHH Thép Hòa Phát Hưng Yên (trước dây là Công ty TNHH MTV Thép Hòa Phát),▪ Công ty con > • Công ty TNHH Thép Hòa Phát Hưng Yên (trước dây là Công ty TNHH MTV Thép Hòa Phát),• Công ty TNHH Thép Hòa Phát Hưng Yên (trước dây là Công ty TNHH MTV Thép Hòa Phát),"100,00%","100,00%",600.000.000.000,-,,"100,00%","100,00%",600.000.000.000,-,1.0,1.0,600000000000.0,,,1.0,1.0,600000000000.0,
• Công ty TNHH Ông thép Hòa Phát (iv),▪ Công ty con > • Công ty TNHH Ông thép Hòa Phát (iv),• Công ty TNHH Ông thép Hòa Phát (iv),"99,95%","99,95%",999.500.000.000,-,,"99,94%","99,94%",799.500.000.000,-,0.9995,0.9995,999500000000.0,,,0.9994,0.9994,799500000000.0,
• Công ty TNHH MTV Tôn Hòa Phát,▪ Công ty con > • Công ty TNHH MTV Tôn Hòa Phát,• Công ty TNHH MTV Tôn Hòa Phát,"100,00%","100,00%",1.000.000.000.000,-,,"100,00%","100,00%",1.000.000.000.000,-,1.0,1.0,1000000000000.0,,,1.0,1.0,1000000000000.0,
• Công ty TNHH Thiết bị Phụ tùng Hòa Phát,▪ Công ty con > • Công ty TNHH Thiết bị Phụ tùng Hòa Phát,• Công ty TNHH Thiết bị Phụ tùng Hòa Phát,"99,72%","99,72%",179.500.000.000,-,,"99,72%","99,72%",179.500.000.000,-,0.9972,0.9972,179500000000.0,,,0.9972,0.9972,179500000000.0,
