row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,7.329.514.190.000,674.149.437.068,(638.500.000),300.416.193.231,1.117.008.913.105,9.420.450.233.404,7329514190000.0,674149437068.0,-638500000.0,300416193231.0,1117008913105.0,9420450233404.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,5.690.657.850.627,5.690.657.850.627,,,,,5690657850627.0,5690657850627.0
Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,1.099.235.370.000,-,-,-,(1.099.235.370.000),-,1099235370000.0,,,,-1099235370000.0,
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,-,-,(1.099.263.178.500),(1.099.263.178.500),,,,,-1099263178500.0,-1099263178500.0
Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ,Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ,Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ,-,-,(454.500.000),-,454.500.000,-,,,-454500000.0,,454500000.0,
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,201.583.806.769,(201.583.806.769),-,,,,201583806769.0,-201583806769.0,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,(47.762.949.267),(47.762.949.267),,,,,-47762949267.0,-47762949267.0
Thù lao thành viên Hội đồng Quản trị và Ban Kiểm soát,Thù lao thành viên Hội đồng Quản trị và Ban Kiểm soát,Thù lao thành viên Hội đồng Quản trị và Ban Kiểm soát,-,-,-,-,(90.000.000),(90.000.000),,,,,-90000000.0,-90000000.0
Biển động khác,Biển động khác,Biển động khác,-,-,-,-,8.559.274.516,8.559.274.516,,,,,8559274516.0,8559274516.0
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,8.428.749.560.000,674.149.437.068,(1.093.000.000),502.000.000.000,4.368.745.233.712,13.972.551.230.780,8428749560000.0,674149437068.0,-1093000000.0,502000000000.0,4368745233712.0,13972551230780.0
Vốn cổ phần (*),Vốn cổ phần (*),Vốn cổ phần (*),2.528.235.830.000,2.528.235.830.000,-,-,-,5.056.471.660.000,2528235830000.0,2528235830000.0,,,,5056471660000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,8.681.594.192.303,8.681.594.192.303,,,,,8681594192303.0,8681594192303.0
Trả cổ tức bằng cổ phiếu (Thuyết minh 18),Trả cổ tức bằng cổ phiếu (Thuyết minh 18),Trả cổ tức bằng cổ phiếu (Thuyết minh 18),4.213.804.610.000,-,-,-,(4.213.804.610.000),-,4213804610000.0,,,,-4213804610000.0,
Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ,Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ,Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ,-,-,(600.270.000),-,600.270.000,-,,,-600270000.0,,600270000.0,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,(398.481.582.484),(398.481.582.484),,,,,-398481582484.0,-398481582484.0
Thù lao thành viên Hội đồng Quản trị và Ban Kiểm soát,Thù lao thành viên Hội đồng Quản trị và Ban Kiểm soát,Thù lao thành viên Hội đồng Quản trị và Ban Kiểm soát,-,-,-,-,(28.000.000),(28.000.000),,,,,-28000000.0,-28000000.0
Biển động khác,Biển động khác,Biển động khác,-,(186.300.000),-,-,18.357.879.105,18.171.579.105,,-186300000.0,,,18357879105.0,18171579105.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,15.170.790.000.000,3.202.198.967.068,(1.693.270.000),502.000.000.000,8.456.983.382.636,27.330.279.079.704,15170790000000.0,3202198967068.0,-1693270000.0,502000000000.0,8456983382636.0,27330279079704.0
