row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 2016Nghìn VND,Tập đoàn > 2015Nghìn VND,Công ty > 2016Nghìn VND,Công ty > 2015Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 2016Nghìn VND,numeric__Tập đoàn > 2015Nghìn VND,numeric__Công ty > 2016Nghìn VND,numeric__Công ty > 2015Nghìn VND
Lợi nhuận/(lỗ) kế toán trước thuế (50 = 30 + 40),Lợi nhuận/(lỗ) kế toán trước thuế (50 = 30 + 40),Lợi nhuận/(lỗ) kế toán trước thuế (50 = 30 + 40),50,,100.564.754,58.559.456,82.292.545,(39.883.120),50.0,,100564754.0,58559456.0,82292545.0,-39883120.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,27,14.320.441,113.525,-,-,51.0,27.0,14320441.0,113525.0,,
Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,52,27,(29.101.561),(25.876.098),-,-,52.0,27.0,-29101561.0,-25876098.0,,
Lợi nhuận/(lỗ) sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận/(lỗ) sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận/(lỗ) sau thuế TNDN (60 = 50 - 51 - 52),60,,115.345.874,84.322.029,82.292.545,(39.883.120),60.0,,115345874.0,84322029.0,82292545.0,-39883120.0
Lợi nhuận/(lỗ) thuần phân bổ cho:,Lợi nhuận/(lỗ) thuần phân bổ cho:,Lợi nhuận/(lỗ) thuần phân bổ cho:,,,Nghìn VND,Nghìn VND,Nghìn VND,Nghìn VND,,,,,,
Chủ sở hữu của Công ty,Lợi nhuận/(lỗ) thuần phân bổ cho: > Chủ sở hữu của Công ty,Chủ sở hữu của Công ty,61,,109.841.024,152.135.747,82.292.545,(39.883.120),61.0,,109841024.0,152135747.0,82292545.0,-39883120.0
Cổ đông không kiểm soát,Lợi nhuận/(lỗ) thuần phân bổ cho: > Cổ đông không kiểm soát,Cổ đông không kiểm soát,62,,5.504.850,(67.813.718),-,-,62.0,,5504850.0,-67813718.0,,
,,,,,VND,VND,,,,,,,,
Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,,,,,,,,,,,,
Lãi cơ bản trên cổ phiếu,Lãi trên cổ phiếu > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,28,153,211,,,70.0,28.0,153.0,211.0,,
