row_label_raw,row_label_full,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Cho năm kết thúc ngày 31 tháng 12 năm 2016,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > ĐồngNghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > FluoritNghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > VonframNghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Các bộ phậnkhácNghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Tổng cộngNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > ĐồngNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > FluoritNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > VonframNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Các bộ phậnkhácNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Tổng cộngNghìn VND
Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,-,-,346.191.642,75.264.692,421.456.334,,,346191642.0,75264692.0,421456334.0
Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,779.689.284,,,,,779689284.0
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,13.508.048,70.325.266,138.706.396,59.220.901,281.760.611,13508048.0,70325266.0,138706396.0,59220901.0,281760611.0
Khấu hao tài sản cố định hữu hình không phân bổ,Khấu hao tài sản cố định hữu hình không phân bổ,Khấu hao tài sản cố định hữu hình không phân bổ,,,,,709.096.803,,,,,709096803.0
Khấu hao tài sản cố định vô hình và chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Khấu hao tài sản cố định vô hình và chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Khấu hao tài sản cố định vô hình và chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,,,,,191.920.302,,,,,191920302.0
Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,,,,,
Chi tiêu vốn của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,-,-,565.635.939,-,565.635.939,,,565635939.0,,565635939.0
Chi tiêu vốn không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,1.434.630.676,,,,,1434630676.0
Khấu hao tài sản cố định,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Khấu hao tài sản cố định,Khấu hao tài sản cố định,12.011.214,62.165.939,62.974.002,19.273.104,156.424.259,12011214.0,62165939.0,62974002.0,19273104.0,156424259.0
Khấu hao tài sản cố định hữu hình không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Khấu hao tài sản cố định hữu hình không phân bổ,Khấu hao tài sản cố định hữu hình không phân bổ,,,,,613.725.509,,,,,613725509.0
Khấu hao tài sản cố định vô hình và chiphi trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Khấu hao tài sản cố định vô hình và chiphi trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Khấu hao tài sản cố định vô hình và chiphi trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,,,,,115.779.983,,,,,115779983.0
