row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 2016Nghìn VND,Tập đoàn > 2015Nghìn VND,Công ty > 2016Nghìn VND,Công ty > 2015Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 2016Nghìn VND,numeric__Tập đoàn > 2015Nghìn VND,numeric__Công ty > 2016Nghìn VND,numeric__Công ty > 2015Nghìn VND
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,01,24,4.048.817.336,2.665.267.495,-,-,1.0,24.0,4048817336.0,2665267495.0,,
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,-,7.392.789,-,-,2.0,,,7392789.0,,
Doanh thu thuần về bán hàng (10 = 01 - 02),Doanh thu thuần về bán hàng (10 = 01 - 02),Doanh thu thuần về bán hàng (10 = 01 - 02),10,,4.048.817.336,2.657.874.706,-,-,10.0,,4048817336.0,2657874706.0,,
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,,2.945.556.012,1.894.376.161,-,-,11.0,,2945556012.0,1894376161.0,,
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,1.103.261.324,763.498.545,-,-,20.0,,1103261324.0,763498545.0,,
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,25,221.046.558,556.078.851,85.002.516,18.095.979,21.0,25.0,221046558.0,556078851.0,85002516.0,18095979.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,26,966.860.622,834.759.478,-,52.914.399,22.0,26.0,966860622.0,834759478.0,,52914399.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,,132.925.055,160.179.519,-,-,25.0,,132925055.0,160179519.0,,
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,,93.030.372,247.909.321,2.707.029,5.064.700,26.0,,93030372.0,247909321.0,2707029.0,5064700.0
Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,131.491.833,76.729.078,82.295.487,(39.883.120),30.0,,131491833.0,76729078.0,82295487.0,-39883120.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,2.378.754,11.769.734,-,-,31.0,,2378754.0,11769734.0,,
Chi phí khác,Chi phí khác,Chi phí khác,32,,33.305.833,29.939.356,2.942,-,32.0,,33305833.0,29939356.0,2942.0,
Lỗ khác (40 = 31 - 32),Lỗ khác (40 = 31 - 32),Lỗ khác (40 = 31 - 32),40,,(30.927.079),(18.169.622),(2.942),-,40.0,,-30927079.0,-18169622.0,-2942.0,
