row_label_raw,row_label_full,col_0,Tập đoàn,Tập đoàn_1,Công ty,Công ty_1,numeric__Tập đoàn,numeric__Tập đoàn_1,numeric__Công ty,numeric__Công ty_1
,,,2016Nghìn VND,2015Nghìn VND,2016Nghìn VND,2015Nghìn VND,,,,
Lợi nhuận/(lỗ) trước thuế,Lợi nhuận/(lỗ) trước thuế,Lợi nhuận/(lỗ) trước thuế,100.564.754,58.559.456,82.292.545,(39.883.120),100564754.0,58559456.0,82292545.0,-39883120.0
Thuế tính theo thuế suất củaCông ty,Thuế tính theo thuế suất củaCông ty,Thuế tính theo thuế suất củaCông ty,20.112.951,12.883.080,16.458.509,(8.774.286),20112951.0,12883080.0,16458509.0,-8774286.0
Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,6.123.679,6.397.990,588,616,6123679.0,6397990.0,588.0,616.0
U'u đãi thuế,U'u đãi thuế,U'u đãi thuế,(18.800.157),-,-,-,-18800157.0,,,
Ảnh hưởng của mức thuế suấtkhác áp dụng đối với công ty con,Ảnh hưởng của mức thuế suấtkhác áp dụng đối với công ty con,Ảnh hưởng của mức thuế suấtkhác áp dụng đối với công ty con,(6.776.723),24.747.423,-,-,-6776723.0,24747423.0,,
Lỗ tính thuế được sử dụng,Lỗ tính thuế được sử dụng,Lỗ tính thuế được sử dụng,(26.788.428),(86.202.797),(16.459.097),-,-26788428.0,-86202797.0,-16459097.0,
Tài sản thuế thu nhập hoãn lạikhông được ghi nhận,Tài sản thuế thu nhập hoãn lạikhông được ghi nhận,Tài sản thuế thu nhập hoãn lạikhông được ghi nhận,54.755,21.641.657,-,8.773.670,54755.0,21641657.0,,8773670.0
Biến động chênh lệch tạm thời,Biến động chênh lệch tạm thời,Biến động chênh lệch tạm thời,11.292.803,(5.229.926),-,-,11292803.0,-5229926.0,,
,,,(14.781.120),(25.762.573),-,-,-14781120.0,-25762573.0,,
