row_label_raw,row_label_full,col_0,Tập đoàn,Tập đoàn_1,Công ty,Công ty_1,numeric__Tập đoàn,numeric__Tập đoàn_1,numeric__Công ty,numeric__Công ty_1
,,,31/12/2016Nghìn VND,1/1/2016Nghìn VND,31/12/2016Nghìn VND,1/1/2016Nghìn VND,,,,
Phải thu ngắn hạn,Phải thu ngắn hạn,Phải thu ngắn hạn,Phải thu ngắn hạn,Phải thu ngắn hạn,Phải thu ngắn hạn,Phải thu ngắn hạn,,,,
Phải thu từ việc bán các khoảnphải thu tiền bồi thường (a),Phải thu ngắn hạn > Phải thu từ việc bán các khoảnphải thu tiền bồi thường (a),Phải thu từ việc bán các khoảnphải thu tiền bồi thường (a),10.000.000,256.200.000,-,-,10000000.0,256200000.0,,
Phải thu ngắn hạn khác (b),Phải thu ngắn hạn > Phải thu ngắn hạn khác (b),Phải thu ngắn hạn khác (b),267.397.165,176.150.795,55.000,55.000,267397165.0,176150795.0,55000.0,55000.0
,,,277.397.165,432.350.795,55.000,55.000,277397165.0,432350795.0,55000.0,55000.0
Phải thu dài hạn,Phải thu dài hạn,Phải thu dài hạn,Phải thu dài hạn,Phải thu dài hạn,Phải thu dài hạn,Phải thu dài hạn,,,,
Chi phí đi vay - MRTN (c),Phải thu dài hạn > Chi phí đi vay - MRTN (c),Chi phí đi vay - MRTN (c),-,-,938.240.411,993.240.411,,,938240411.0,993240411.0
Phải thu tiền bồi thường giảiphóng mặt bằng từ UBND,Phải thu tiền bồi thường giảiphóng mặt bằng từ UBND,Phải thu tiền bồi thường giảiphóng mặt bằng từ UBND,,,,,,,,
Tỉnh Thái Nguyên (d),Phải thu tiền bồi thường giảiphóng mặt bằng từ UBND > Tỉnh Thái Nguyên (d),Tỉnh Thái Nguyên (d),1.356.982.821,1.383.085.565,-,-,1356982821.0,1383085565.0,,
Phải thu dài hạn khác,Phải thu tiền bồi thường giảiphóng mặt bằng từ UBND > Phải thu dài hạn khác,Phải thu dài hạn khác,22.474.954,18.222.848,-,-,22474954.0,18222848.0,,
,,,1.379.457.775,1.401.308.413,938.240.411,993.240.411,1379457775.0,1401308413.0,938240411.0,993240411.0
