row_label_raw,row_label_full,Bên liên quan,Bản chất của giao dịch,2016Nghìn VND,2015Nghìn VND,numeric__Bản chất của giao dịch,numeric__2016Nghìn VND,numeric__2015Nghìn VND
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,,
Công ty Cổ phần,Công ty mẹ cấp cao nhất > Công ty Cổ phần,Công ty Cổ phần,Chuyển lãi vay phải trả thành khoản vay,-,52.221.014,,,52221014.0
Tập đoàn Masan,Công ty mẹ cấp cao nhất > Tập đoàn Masan,Tập đoàn Masan,Chỉ phí lãi vay và chi phí đi vay,-,52.914.399,,,52914399.0
Tập đoàn Masan,Công ty mẹ cấp cao nhất > Tập đoàn Masan,Tập đoàn Masan,Chỉ phí lãi vay và chi phí đi vay đã trả,-,384.946.188,,,384946188.0
Tập đoàn Masan,Công ty mẹ cấp cao nhất > Tập đoàn Masan,Tập đoàn Masan,Khoản vay đã trả,-,611.053.812,,,611053812.0
Tập đoàn Masan,Công ty mẹ cấp cao nhất > Tập đoàn Masan,Tập đoàn Masan,Đối trừ công nợ,85.000.000,-,,85000000.0,
Các công ty liên quan khác,Các công ty liên quan khác,Các công ty liên quan khác,Các công ty liên quan khác,Các công ty liên quan khác,Các công ty liên quan khác,,,
Công ty TNHH MTV,Công ty TNHH MTV,Công ty TNHH MTV,Thu nhập tài chính từ việc cấp khoản,,,,,
Tài nguyên Masan,Công ty TNHH MTV > Tài nguyên Masan,Tài nguyên Masan,vay cho một công ty con,-,17.914.950,,,17914950.0
Thái Nguyên,Công ty TNHH MTV > Thái Nguyên,Thái Nguyên,Thu hồi các khoản cho vay,-,996.000.000,,,996000000.0
Thái Nguyên,Công ty TNHH MTV > Thái Nguyên,Thái Nguyên,Doanh thu tài chính nhận được,36.711.320,30.000.000,,36711320.0,30000000.0
Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH MTV > Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Doanh thu tài chính nhận được,18.288.680,-,,18288680.0,
Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH MTV > Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Các khoản tạm ứng đã trả,-,27.000.000,,,27000000.0
