row_label_raw,row_label_full,Cho năm kết thúc ngày 31 tháng 12 năm 2016,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,numeric__ĐồngNghìn VND,numeric__FluoritNghìn VND,numeric__VonframNghìn VND,numeric__Các bộ phậnkhácNghìn VND,numeric__Tổng cộngNghìn VND
Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,619.613.601,833.247.290,2.391.679.574,204.276.871,4.048.817.336,619613601.0,833247290.0,2391679574.0,204276871.0,4048817336.0
Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,371.604.434,476.834.387,229.262.354,25.560.149,1.103.261.324,371604434.0,476834387.0,229262354.0,25560149.0,1103261324.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,225.955.427,,,,,225955427.0
Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,,,,,221.046.558,,,,,221046558.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,966.860.622,,,,,966860622.0
Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,,,,,131.491.833,,,,,131491833.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,2.378.754,,,,,2378754.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,33.305.833,,,,,33305833.0
Lợi ích thuế thu nhập doanh nghiệp,Lợi ích thuế thu nhập doanh nghiệp,Lợi ích thuế thu nhập doanh nghiệp,,,,,(14.781.120),,,,,-14781120.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,115.345.874,,,,,115345874.0
