row_label_raw,row_label_full,col_0,Mã số,Tập đoàn > 2016Nghin VND,Tập đoàn > 2015Nghin VND,Công ty > 2016Nghin VND,Công ty > 2015Nghin VND,numeric__Mã số,numeric__Tập đoàn > 2016Nghin VND,numeric__Tập đoàn > 2015Nghin VND,numeric__Công ty > 2016Nghin VND,numeric__Công ty > 2015Nghin VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,
Lợi nhuận/(lỗ) trước thuếĐiều chỉnh cho các khoản,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận/(lỗ) trước thuếĐiều chỉnh cho các khoản,Lợi nhuận/(lỗ) trước thuếĐiều chỉnh cho các khoản,01,100.564.754,58.559.456,82.292.545,(39.883.120),1.0,100564754.0,58559456.0,82292545.0,-39883120.0
Khấu hao và phân bổ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao và phân bổ,Khấu hao và phân bổ,02,1.027.293.480,808.013.379,-,-,2.0,1027293480.0,808013379.0,,
Các khoản dự phòng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,50.080.962,49.802.020,-,-,3.0,50080962.0,49802020.0,,
Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,20.027.858,23.164.104,-,-,4.0,20027858.0,23164104.0,,
Lãi từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,(158.760.543),(508.467.181),(85.002.516),(18.095.979),5.0,-158760543.0,-508467181.0,-85002516.0,-18095979.0
Chi phí lãi vay và chi phí đi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay và chi phí đi vay,Chi phí lãi vay và chi phí đi vay,06,844.510.670,706.154.441,-,52.914.399,6.0,844510670.0,706154441.0,,52914399.0
Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,1.883.717.181,1.137.226.219,(2.709.971),(5.064.700),8.0,1883717181.0,1137226219.0,-2709971.0,-5064700.0
Biến động các khoản phải thu và tài sản ngắn hạn khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu và tài sản ngắn hạn khác,Biến động các khoản phải thu và tài sản ngắn hạn khác,09,(103.021.421),207.127.762,-,-,9.0,-103021421.0,207127762.0,,
Biến động hàng tồn kho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,(27.986.824),(428.357.269),-,-,10.0,-27986824.0,-428357269.0,,
Biến động các khoản phải trả và nợ phải trả khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,10.022.219,227.307.687,320.168,(27.056.124),11.0,10022219.0,227307687.0,320168.0,-27056124.0
Biến động chi phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,31.329.469,(90.851.565),-,-,12.0,31329469.0,-90851565.0,,
,,,,1.794.060.624,1.052.452.834,(2.389.803),(32.120.824),,1794060624.0,1052452834.0,-2389803.0,-32120824.0
Chi phí lãi vay và chi phí đi vay đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay và chi phí đi vay đã trả,Chi phí lãi vay và chi phí đi vay đã trả,14,(656.209.478),(1.010.638.167),-,(384.946.188),14.0,-656209478.0,-1010638167.0,,-384946188.0
Thuế thu nhập doanh nghiệp đã nộp,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(363.147),(108.583),-,-,15.0,-363147.0,-108583.0,,
