row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 31/12/2016Nghìn VND,Tập đoàn > 1/1/2016Nghìn VND,Công tv > 31/12/2016Nghìn VND,Công tv > 1/1/2016Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 31/12/2016Nghìn VND,numeric__Tập đoàn > 1/1/2016Nghìn VND,numeric__Công tv > 31/12/2016Nghìn VND,numeric__Công tv > 1/1/2016Nghìn VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),TÀI SẢN > Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),100,,2.496.130.991,2.490.177.582,951.931,552.795,100.0,,2496130991.0,2490177582.0,951931.0,552795.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5,603.345.037,372.014.377,896.931,497.795,110.0,5.0,603345037.0,372014377.0,896931.0,497795.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,536.715.037,370.384.377,896.931,497.795,111.0,,536715037.0,370384377.0,896931.0,497795.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,66.630.000,1.630.000,-,-,112.0,,66630000.0,1630000.0,,
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,-,2.100.000,-,-,120.0,,,2100000.0,,
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,,-,2.100.000,-,-,123.0,,,2100000.0,,
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,583.833.584,747.080.504,55.000,55.000,130.0,,583833584.0,747080504.0,55000.0,55000.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,,271.197.824,241.247.245,-,-,131.0,,271197824.0,241247245.0,,
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,42.094.159,75.767.652,-,-,132.0,,42094159.0,75767652.0,,
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,6,277.397.165,432.350.795,55.000,55.000,136.0,6.0,277397165.0,432350795.0,55000.0,55000.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,TÀI SẢN > Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,137,,(6.855.564),(2.285.188),-,-,137.0,,-6855564.0,-2285188.0,,
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,7,1.112.385.216,1.084.398.392,-,-,140.0,7.0,1112385216.0,1084398392.0,,
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,1.112.385.216,1.084.398.392,-,-,141.0,,1112385216.0,1084398392.0,,
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,196.567.154,284.584.309,-,-,150.0,,196567154.0,284584309.0,,
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,61.782.483,42.783.827,-,-,151.0,,61782483.0,42783827.0,,
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,134.784.671,241.800.482,-,-,152.0,,134784671.0,241800482.0,,
