row_label_raw,row_label_full,Hội đồng quản trị > Ông NGUYỄN TIÊN DÙNG > Ông VŨ MẠNH TIÊN > Ông VŨ HỒNG NAM > Ông LÊ HỒNG PHƯƠNG > Bà NGUYỄN THỊ MAI > Bà TRẦN HẢI ANH > Ông TRẦN KIM CHUNG > Ông LÊ XUÂN NGHĨA,Chủ tịch > Phó chủ tịch > Thành viên > Thành viên thường trực > Thành viên > Thành viên độc lập,Ngày bổ nhiệm > 11/10/2018 > 15/11/2018 > 26/04/2018 > 24/04/2015 > 11/10/2018 > 09/11/2018 > 24/04/2015,Ngày miễn nhiệm,numeric__Chủ tịch > Phó chủ tịch > Thành viên > Thành viên thường trực > Thành viên > Thành viên độc lập,numeric__Ngày bổ nhiệm > 11/10/2018 > 15/11/2018 > 26/04/2018 > 24/04/2015 > 11/10/2018 > 09/11/2018 > 24/04/2015,numeric__Ngày miễn nhiệm
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,,,
Bà TRẦN THỊ HÀ GIANG,Bà TRẦN THỊ HÀ GIANG,Bà TRẦN THỊ HÀ GIANG,Trường ban,26/04/2018,,,,
Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Trường ban,24/04/2015,26/04/2018,,,
Bà VŨ KIM PHƯỢNG,Bà VŨ KIM PHƯỢNG,Bà VŨ KIM PHƯỢNG,Thành viên,24/04/2015,,,,
Ông LÊ TRỌNG HIỂU,Ông LÊ TRỌNG HIỂU,Ông LÊ TRỌNG HIỂU,Thành viên,24/04/2015,,,,
Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,,,
Ông LÊ HỒNG PHƯƠNG,Ông LÊ HỒNG PHƯƠNG,Ông LÊ HỒNG PHƯƠNG,Tổng Giám đốc,18/10/2018,,,,
Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Phó Tổng giám đốc thường trực,26/04/2018,,,,
Ông VŨ MẠNH TIÊN,Ông VŨ MẠNH TIÊN,Ông VŨ MẠNH TIÊN,Phó Tổng giám đốc,11/11/2013,26/01/2019,,,
Bà NGUYỄN THỊ MAI,Bà NGUYỄN THỊ MAI,Bà NGUYỄN THỊ MAI,Phó Tổng giám đốc,06/02/2013,26/01/2019,,,
Ông NGUYỄN ĐÌNH TUẤN,Ông NGUYỄN ĐÌNH TUẤN,Ông NGUYỄN ĐÌNH TUẤN,Phó Tổng giám đốc,26/01/2019,,,,
Ông HOÀNG TUẤN TỪ,Ông HOÀNG TUẤN TỪ,Ông HOÀNG TUẤN TỪ,Phó Tổng giám đốc,01/02/2018,,,,
Ông NGUYỄN HỒNG LONG,Ông NGUYỄN HỒNG LONG,Ông NGUYỄN HỒNG LONG,Phó Tổng giám đốc,21/08/2018,,,,
Ông PHẠM THẾ HIỆP,Ông PHẠM THẾ HIỆP,Ông PHẠM THẾ HIỆP,Phó Tổng giám đốc,01/02/2018,,,,
Bà ĐỒ THỊ THANH HƯỜNG,Bà ĐỒ THỊ THANH HƯỜNG,Bà ĐỒ THỊ THANH HƯỜNG,Kế toán trường,01/08/2016,,,,
