row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiệnvận tải, truyền dẫn","Thiết bị, dụng cụquản lý",Đơn vị tính:VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiệnvận tải, truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Đơn vị tính:VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,126.204.606.588,30.410.400.659,3.420.450.909,11.128.508.135,171.163.966.291,126204606588.0,30410400659.0,3420450909.0,11128508135.0,171163966291.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,-,-,51.363.636,51.363.636,,,,51363636.0,51363636.0
- Kết chuyển sang bất động sảnđầu tư (Thuyết minh số 13),Nguyên giá: > - Kết chuyển sang bất động sảnđầu tư (Thuyết minh số 13),- Kết chuyển sang bất động sảnđầu tư (Thuyết minh số 13),(9.412.448.014),(1.009.326.341),-,(4.376.798.273),(14.798.572.628),-9412448014.0,-1009326341.0,,-4376798273.0,-14798572628.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(1.123.730.909),-,(1.123.730.909),,,-1123730909.0,,-1123730909.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,116.792.158.574,29.401.074.318,2.296.720.000,6.803.073.498,155.293.026.390,116792158574.0,29401074318.0,2296720000.0,6803073498.0,155293026390.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,58.624.619.531,23.541.216.150,-,813.213.886,82.979.049.567,58624619531.0,23541216150.0,,813213886.0,82979049567.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,75.306.497.974,25.303.306.695,1.486.249.104,4.911.901.788,107.007.955.561,75306497974.0,25303306695.0,1486249104.0,4911901788.0,107007955561.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,2.270.856.189,640.753.899,412.386.860,1.180.079.670,4.504.076.618,2270856189.0,640753899.0,412386860.0,1180079670.0,4504076618.0
- Kết chuyển sang bất động sảnđầu tư (Thuyết minh số 13),Giá trị khấu hao lũy kế: > - Kết chuyển sang bất động sảnđầu tư (Thuyết minh số 13),- Kết chuyển sang bất động sảnđầu tư (Thuyết minh số 13),(987.013.558),(361.628.897),-,(2.054.579.205),(3.403.221.660),-987013558.0,-361628897.0,,-2054579205.0,-3403221660.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(622.680.404),-,(622.680.404),,,-622680404.0,,-622680404.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,76.590.340.605,25.582.431.697,1.275.955.560,4.037.402.253,107.486.130.115,76590340605.0,25582431697.0,1275955560.0,4037402253.0,107486130115.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,50.898.108.614,5.107.093.964,1.934.201.805,6.216.606.347,64.156.010.730,50898108614.0,5107093964.0,1934201805.0,6216606347.0,64156010730.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,40.201.817.969,3.818.642.621,1.020.764.440,2.765.671.245,47.806.896.275,40201817969.0,3818642621.0,1020764440.0,2765671245.0,47806896275.0
