row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 9),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9)
Công ty Hạ tầng Gelex,Công ty Hạ tầng Gelex,Công ty Hạ tầng Gelex,Công ty con,Phải thu về lãi cho vay,148.832.547.940,46.064.164.385,,,148832547940.0,46064164385.0
Công ty Gelex Electric,Công ty Gelex Electric,Công ty Gelex Electric,Công ty con,Phải thu về lãi cho vay,26.850.321.654,27.945.205,,,26850321654.0,27945205.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,175.682.869.594,46.092.109.590,,,175682869594.0,46092109590.0
Phải trả người bán ngắn hạn (Thuyết minh số 16),Phải trả người bán ngắn hạn (Thuyết minh số 16),Phải trả người bán ngắn hạn (Thuyết minh số 16),Phải trả người bán ngắn hạn (Thuyết minh số 16),Phải trả người bán ngắn hạn (Thuyết minh số 16),Phải trả người bán ngắn hạn (Thuyết minh số 16),Phải trả người bán ngắn hạn (Thuyết minh số 16),,,,
Công ty Gelex Land,Phải trả người bán ngắn hạn (Thuyết minh số 16) > Công ty Gelex Land,Công ty Gelex Land,Công ty con,Mua dịch vụ,-,6.305.918.963,,,,6305918963.0
Công ty TNHH MTV Sotrans Logistisc,Phải trả người bán ngắn hạn (Thuyết minh số 16) > Công ty TNHH MTV Sotrans Logistisc,Công ty TNHH MTV Sotrans Logistisc,Công ty con tới 30 tháng 6 năm 2020,Phí vận chuyển,-,1.395.432.669,,,,1395432669.0
Công ty TNHH S.A.S. – CTAMAD,Phải trả người bán ngắn hạn (Thuyết minh số 16) > Công ty TNHH S.A.S. – CTAMAD,Công ty TNHH S.A.S. – CTAMAD,Công ty liên kết,Mua dịch vụ,138.524.927,-,,,138524927.0,
TỔNG CỘNG,Phải trả người bán ngắn hạn (Thuyết minh số 16) > TỔNG CỘNG,TỔNG CỘNG,,,138.524.927,7.701.351.632,,,138524927.0,7701351632.0
Phải trả khác (Thuyết minh số 21),Phải trả khác (Thuyết minh số 21),Phải trả khác (Thuyết minh số 21),Phải trả khác (Thuyết minh số 21),Phải trả khác (Thuyết minh số 21),Phải trả khác (Thuyết minh số 21),Phải trả khác (Thuyết minh số 21),,,,
Công ty Gelex Electric,Phải trả khác (Thuyết minh số 21) > Công ty Gelex Electric,Công ty Gelex Electric,Công ty con,Ký quỹ mua vật tư dài hạn,-,500.000.000.000,,,,500000000000.0
Công ty Gelex Electric,Phải trả khác (Thuyết minh số 21) > Công ty Gelex Electric,Công ty Gelex Electric,Công ty con,Lãi ký quỹ mua vật tư,-,11.241.529.510,,,,11241529510.0
Công ty HEM,Phải trả khác (Thuyết minh số 21) > Công ty HEM,Công ty HEM,Công ty con,Ký quỹ mua vật tư,-,40.000.000.000,,,,40000000000.0
Công ty HEM,Phải trả khác (Thuyết minh số 21) > Công ty HEM,Công ty HEM,Công ty con,Lãi ký quỹ mua vật tư,-,821.917.807,,,,821917807.0
Công ty TNHH Một thành viên Sotrans Logistisc,Phải trả khác (Thuyết minh số 21) > Công ty TNHH Một thành viên Sotrans Logistisc,Công ty TNHH Một thành viên Sotrans Logistisc,Công ty con tới 30 tháng 6 năm 2020,Phí vận chuyển trả hộ,-,2.160.418.705,,,,2160418705.0
Công ty Gelex Land,Phải trả khác (Thuyết minh số 21) > Công ty Gelex Land,Công ty Gelex Land,Công ty con,Lãi vay,1.327.406.898,682.849.314,,,1327406898.0,682849314.0
Công ty Cadivi,Phải trả khác (Thuyết minh số 21) > Công ty Cadivi,Công ty Cadivi,Công ty con,Lãi đặt cọc,11.596.273.972,-,,,11596273972.0,
Công ty CFT,Phải trả khác (Thuyết minh số 21) > Công ty CFT,Công ty CFT,Công ty con,Tiền thuê đất trả hộ,3.107.404.507,-,,,3107404507.0,
Công ty Cadivi Đồng Nai,Phải trả khác (Thuyết minh số 21) > Công ty Cadivi Đồng Nai,Công ty Cadivi Đồng Nai,Công ty con,Nhận ký quỹ mua vật tư,160.000.000.000,-,,,160000000000.0,
TỔNG CỘNG,Phải trả khác (Thuyết minh số 21) > TỔNG CỘNG,TỔNG CỘNG,,,176.031.085.377,554.906.715.336,,,176031085377.0,554906715336.0
