row_label_raw,row_label_full,Bên liên quan > Doanh thu chưa thực hiện (Thuyết minh số 20),Mối quan hệ > Doanh thu chưa thực hiện (Thuyết minh số 20),Nội dung nghiệp vụ > Doanh thu chưa thực hiện (Thuyết minh số 20),Số cuối năm > Doanh thu chưa thực hiện (Thuyết minh số 20),Số đầu năm > Doanh thu chưa thực hiện (Thuyết minh số 20),numeric__Mối quan hệ > Doanh thu chưa thực hiện (Thuyết minh số 20),numeric__Nội dung nghiệp vụ > Doanh thu chưa thực hiện (Thuyết minh số 20),numeric__Số cuối năm > Doanh thu chưa thực hiện (Thuyết minh số 20),numeric__Số đầu năm > Doanh thu chưa thực hiện (Thuyết minh số 20)
Công ty Cadivi Đồng Nai,Công ty Cadivi Đồng Nai,Công ty Cadivi Đồng Nai,Công ty con,Doanh thu cho thuê cơ sở hạ tầng,110.385.857.975,-,,,110385857975.0,
Công ty Cadivi,Công ty Cadivi,Công ty Cadivi,Công ty con,Doanh thu cho thuê cơ sở hạ tầng,21.948.065.329,-,,,21948065329.0,
Công ty CFT,Công ty CFT,Công ty CFT,Công ty con,Lãi bán hàng trả chậm,1.818.540.581,-,,,1818540581.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,134.152.463.885,-,,,134152463885.0,
