row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Doanh thu cho thuê văn phòng,Ngắn hạn > Doanh thu cho thuê văn phòng,Doanh thu cho thuê văn phòng,6.843.075.232,6.777.266.439,6843075232.0,6777266439.0
Lãi bán hàng trả chậm,Ngắn hạn > Lãi bán hàng trả chậm,Lãi bán hàng trả chậm,1.818.540.581,-,1818540581.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,8.661.615.813,6.777.266.439,8661615813.0,6777266439.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Doanh thu cho thuê văn phòng,Dài hạn > Doanh thu cho thuê văn phòng,Doanh thu cho thuê văn phòng,42.553.655.782,43.642.636.966,42553655782.0,43642636966.0
Doanh thu cho thuê cơ sở hạ tầng,Dài hạn > Doanh thu cho thuê cơ sở hạ tầng,Doanh thu cho thuê cơ sở hạ tầng,132.333.923.304,-,132333923304.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,174.887.579.086,43.642.636.966,174887579086.0,43642636966.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chưa thực hiện với các bên liên quan (Thuyết minh số 30),Trong đó: > Doanh thu chưa thực hiện với các bên liên quan (Thuyết minh số 30),Doanh thu chưa thực hiện với các bên liên quan (Thuyết minh số 30),134.152.463.885,-,134152463885.0,
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,49.396.731.014,50.419.903.405,49396731014.0,50419903405.0
