row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí trả trước liên quan đến trái phiếu,Ngắn hạn > Chi phí trả trước liên quan đến trái phiếu,Chi phí trả trước liên quan đến trái phiếu,10.630.642.223,4.538.984.738,10630642223.0,4538984738.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,1.556.077.674,210.410.876,1556077674.0,210410876.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,12.186.719.897,4.749.395.614,12186719897.0,4749395614.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí nội thất và cải tạo văn phòng,Dài hạn > Chi phí nội thất và cải tạo văn phòng,Chi phí nội thất và cải tạo văn phòng,11.241.120.897,10.314.725.781,11241120897.0,10314725781.0
Chi phí xây dựng hạ tầng và san nền (*),Dài hạn > Chi phí xây dựng hạ tầng và san nền (*),Chi phí xây dựng hạ tầng và san nền (*),10.608.541.684,11.142.164.848,10608541684.0,11142164848.0
Chi phí thuê đất trả trước (*),Dài hạn > Chi phí thuê đất trả trước (*),Chi phí thuê đất trả trước (*),6.604.470.888,6.801.405.852,6604470888.0,6801405852.0
"Công cụ, dụng cụ xuất dùng","Dài hạn > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",1.463.099.278,1.117.370.939,1463099278.0,1117370939.0
Chi phí trả trước dài hạn khác,Dài hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,1.203.819.844,280.327.633,1203819844.0,280327633.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,31.121.052.591,29.655.995.053,31121052591.0,29655995053.0
