row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,9.742.736.071,7.715.464.373,9742736071.0,7715464373.0
Hoàn nhập chi phí bảo hành,Chi phí bán hàng > Hoàn nhập chi phí bảo hành,Hoàn nhập chi phí bảo hành,(2.123.935.262),(4.352.998.000),-2123935262.0,-4352998000.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,7.618.800.809,3.362.466.373,7618800809.0,3362466373.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp > Chi phí nhân công,Chi phí nhân công,40.894.972.177,28.749.695.694,40894972177.0,28749695694.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,2.164.049.406,2.706.256.253,2164049406.0,2706256253.0
"Thuế, phí, lệ phí","Chi phí quản lý doanh nghiệp > Thuế, phí, lệ phí","Thuế, phí, lệ phí",7.061.024.505,7.868.275.634,7061024505.0,7868275634.0
(Hoàn nhập)/trích lập dự phòng phải thu khóđời,Chi phí quản lý doanh nghiệp > (Hoàn nhập)/trích lập dự phòng phải thu khóđời,(Hoàn nhập)/trích lập dự phòng phải thu khóđời,(459.410.781),1.393.021.390,-459410781.0,1393021390.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,20.399.987.693,19.820.874.852,20399987693.0,19820874852.0
Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,16.077.184.392,14.115.270.362,16077184392.0,14115270362.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,86.137.807.392,74.653.394.185,86137807392.0,74653394185.0
