row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7),Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7),Đơn vị tính: VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7),numeric__Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7),numeric__Đơn vị tính: VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7)
Công ty HEM,Công ty HEM,Công ty HEM,Công ty con,Bán hàng hóa,1.923.153.752,12.873.000.639,,,1923153752.0,12873000639.0
Công ty Emic,Công ty Emic,Công ty Emic,Công ty con,"Bán hàng hóa,cung cấp dịch vụ",279.101.677,12.110.952.061,,,279101677.0,12110952061.0
Công ty Thibidi,Công ty Thibidi,Công ty Thibidi,Công ty con,Bán hàng hóa,120.796.161.698,4.005.602.556,,,120796161698.0,4005602556.0
Công ty CFT,Công ty CFT,Công ty CFT,Công ty con,Bán hàng hóa,109.811.480.411,-,,,109811480411.0,
Công ty Cadivi Đồng Nai,Công ty Cadivi Đồng Nai,Công ty Cadivi Đồng Nai,Công ty con,"Phải thu tiền hàng,cung cấp dịch vụ",10.690.833.979,-,,,10690833979.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,Bán hàng hóa vàcung cấp dịch vụ,583.862.020,562.702.770,,,583862020.0,562702770.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,244.084.593.537,29.552.258.026,,,244084593537.0,29552258026.0
Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),,,,
Công ty Hạ tầng Gelex,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Hạ tầng Gelex,Công ty Hạ tầng Gelex,Công ty con,Cho vay ngắn hạn,1.163.100.000.000,325.600.000.000,,,1163100000000.0,325600000000.0
Công ty Gelex Electric,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Gelex Electric,Công ty Gelex Electric,Công ty con,Cho vay ngắn hạn,488.104.346.054,205.000.000.000,,,488104346054.0,205000000000.0
Công ty Gelex NinhThuận,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Gelex NinhThuận,Công ty Gelex NinhThuận,Công ty con,Cho vay dài hạnđến hạn thu hồi,36.875.000.000,36.875.000.000,,,36875000000.0,36875000000.0
TỔNG CỘNG,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.688.079.346.054,567.475.000.000,,,1688079346054.0,567475000000.0
Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),,,,
Công ty Gelex NinhThuận,Phải thu về cho vay dài hạn (Thuyết minh số 8) > Công ty Gelex NinhThuận,Công ty Gelex NinhThuận,Công ty con,Cho vay dài hạn,608.125.000.000,700.625.000.000,,,608125000000.0,700625000000.0
TỔNG CỘNG,Phải thu về cho vay dài hạn (Thuyết minh số 8) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,608.125.000.000,700.625.000.000,,,608125000000.0,700625000000.0
