row_label_raw,row_label_full,Đơn vị tư vấn phát hành > Công ty Cổ phần Chứng khoán VNDIRECT > Công ty Cổ phần Chứng khoán SSI,Số cuối năm VND > 350.000.000.000 > 150.000.000.000 > 400.000.000.000,Ngày đáo hạn > Khoản trái phiếu cuối cùng đáo ngày 13 tháng 7 năm 2023 > Khoản trái phiếu cuối cùng đáo hạn ngày 6 tháng 8 năm 2023 > Khoản trái phiếu cuối cùng đáo hạn ngày 23 tháng 7 năm 2023,"Lãi suất > Lãi suất có định 10%/năm, trả lãi 6 tháng/lần",Tài sản đảm bảo > 4.100.000 cổ phiếu phổ thông của Công ty Cadivi và 14.000.000 cổ phiếu phổ thông của Công ty Thibidi thuộc sở hữu của Công ty Gelex Electric. > 898.850 cổ phiếu phổ thông của Tổng Công ty Viglacera - CTCP thuộc sở hữu của Công ty Gelex Electric và 13.000.000 cổ phiếu phổ thông của Tổng Công ty Viglacera - CTCP thuộc sở hữu của Tổng Công ty. > 22.666.667 cổ phiếu phổ thông của Công ty Viwasupco thuộc sở hữu của Công ty Hạ Tầng Gelex.,numeric__Số cuối năm VND > 350.000.000.000 > 150.000.000.000 > 400.000.000.000,numeric__Ngày đáo hạn > Khoản trái phiếu cuối cùng đáo ngày 13 tháng 7 năm 2023 > Khoản trái phiếu cuối cùng đáo hạn ngày 6 tháng 8 năm 2023 > Khoản trái phiếu cuối cùng đáo hạn ngày 23 tháng 7 năm 2023,"numeric__Lãi suất > Lãi suất có định 10%/năm, trả lãi 6 tháng/lần",numeric__Tài sản đảm bảo > 4.100.000 cổ phiếu phổ thông của Công ty Cadivi và 14.000.000 cổ phiếu phổ thông của Công ty Thibidi thuộc sở hữu của Công ty Gelex Electric. > 898.850 cổ phiếu phổ thông của Tổng Công ty Viglacera - CTCP thuộc sở hữu của Công ty Gelex Electric và 13.000.000 cổ phiếu phổ thông của Tổng Công ty Viglacera - CTCP thuộc sở hữu của Tổng Công ty. > 22.666.667 cổ phiếu phổ thông của Công ty Viwasupco thuộc sở hữu của Công ty Hạ Tầng Gelex.
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(41.261.482.911),,,,-41261482911.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.708.738.517.089,,,,3708738517089.0,,,
