row_label_raw,row_label_full,Bên đi vay,Số cuối năm VND,Kỳ hạn trả gốc và lãi,Lãi suất (%/năm),numeric__Số cuối năm VND,numeric__Kỳ hạn trả gốc và lãi,numeric__Lãi suất (%/năm)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,
Công ty Hạ tầng Gelex,Ngắn hạn > Công ty Hạ tầng Gelex,Công ty Hạ tầng Gelex,1.163.100.000.000,Khế ước cuối cùng thanh toán ngày 28 tháng 12 năm 2021. Lãi trả cùng với gốc khi đáo hạn.,10%,1163100000000.0,,0.1
Công ty Gelex Electric,Ngắn hạn > Công ty Gelex Electric,Công ty Gelex Electric,488.104.346.054,Đáo hạn ngày 25 tháng 11 năm 2021. Lãi trả cùng với gốc khi đáo hạn.,10%,488104346054.0,,0.1
Công ty Gelex Ninh Thuận,Ngắn hạn > Công ty Gelex Ninh Thuận,Công ty Gelex Ninh Thuận,36.875.000.000,Đáo hạn ngày 31 tháng 12 năm 2021. Lãi trả hàng quỹ.,"9,5%",36875000000.0,,0.095
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.688.079.346.054,,,1688079346054.0,,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,
Công ty Gelex Ninh Thuận,Dài hạn > Công ty Gelex Ninh Thuận,Công ty Gelex Ninh Thuận,608.125.000.000,Gốc vay cuối cùng thanh toán ngày 31 tháng 12 năm 2029. Lãi trả hàng quỹ.,"9,5%",608125000000.0,,0.095
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,608.125.000.000,,,608125000000.0,,
