row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bịvà tài sản khác (*)",Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bịvà tài sản khác (*)",numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,187.610.671.430,107.357.241.575,294.967.913.005,187610671430.0,107357241575.0,294967913005.0
- Xây dựng cơ bản hoàn thành,Nguyên giá: > - Xây dựng cơ bản hoàn thành,- Xây dựng cơ bản hoàn thành,77.751.909.090,-,77.751.909.090,77751909090.0,,77751909090.0
- Kết chuyển từ tài sản cố địnhhửu hình,Nguyên giá: > - Kết chuyển từ tài sản cố địnhhửu hình,- Kết chuyển từ tài sản cố địnhhửu hình,9.412.448.014,5.386.124.614,14.798.572.628,9412448014.0,5386124614.0,14798572628.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,274.775.028.534,112.743.366.189,387.518.394.723,274775028534.0,112743366189.0,387518394723.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,4.414.872.669,4.414.872.669,,4414872669.0,4414872669.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,18.109.674.564,43.923.782.820,62.033.457.384,18109674564.0,43923782820.0,62033457384.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,6.454.352.670,10.114.687.782,16.569.040.452,6454352670.0,10114687782.0,16569040452.0
- Kết chuyển từ tài sản cố địnhhửu hình,Giá trị khấu hao lũy kế: > - Kết chuyển từ tài sản cố địnhhửu hình,- Kết chuyển từ tài sản cố địnhhửu hình,987.013.558,2.416.208.102,3.403.221.660,987013558.0,2416208102.0,3403221660.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,25.551.040.792,56.454.678.704,82.005.719.496,25551040792.0,56454678704.0,82005719496.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,169.500.996.866,63.433.458.755,232.934.455.621,169500996866.0,63433458755.0,232934455621.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,249.223.987.742,56.288.687.485,305.512.675.227,249223987742.0,56288687485.0,305512675227.0
