row_label_raw,row_label_full,18,VAY (tiếp theo),VAY (tiếp theo)_1,VAY (tiếp theo)_2,VAY (tiếp theo)_3,numeric__VAY (tiếp theo),numeric__VAY (tiếp theo)_1,numeric__VAY (tiếp theo)_2,numeric__VAY (tiếp theo)_3
(a),(a),(a),Ngắn hạn (tiếp theo),Ngắn hạn (tiếp theo),Ngắn hạn (tiếp theo),Ngắn hạn (tiếp theo),,,,
,,,"Quyền sử dụng đất tại số 52A-52B Đường Nguyễn Văn Trỗi, Quận Phú Nhuận, Thành phố Hồ Chí Minh; số 195A Đường Phan Đăng Lưu, Quận Phú Nhuận, Thành phố Hồ Chí Minh; số 577 Đường Nguyễn Kiệm, Quận Phú Nhuận, Thành phố Hồ Chí Minh và số 174 Đường Lê Thánh Tôn, Quận 1, Thành phố Hồ Chí Minh với giá trị ghi số tổng công là 63.592.666.838 đồng đang được lưu giữ tại Ngân hàng TMCP Đông Á tại ngày lập báo cáo tài chính riêng này để thế chấp các khoản vay từ ngân hàng này.","Quyền sử dụng đất tại số 52A-52B Đường Nguyễn Văn Trỗi, Quận Phú Nhuận, Thành phố Hồ Chí Minh; số 195A Đường Phan Đăng Lưu, Quận Phú Nhuận, Thành phố Hồ Chí Minh; số 577 Đường Nguyễn Kiệm, Quận Phú Nhuận, Thành phố Hồ Chí Minh và số 174 Đường Lê Thánh Tôn, Quận 1, Thành phố Hồ Chí Minh với giá trị ghi số tổng công là 63.592.666.838 đồng đang được lưu giữ tại Ngân hàng TMCP Đông Á tại ngày lập báo cáo tài chính riêng này để thế chấp các khoản vay từ ngân hàng này.","Quyền sử dụng đất tại số 52A-52B Đường Nguyễn Văn Trỗi, Quận Phú Nhuận, Thành phố Hồ Chí Minh; số 195A Đường Phan Đăng Lưu, Quận Phú Nhuận, Thành phố Hồ Chí Minh; số 577 Đường Nguyễn Kiệm, Quận Phú Nhuận, Thành phố Hồ Chí Minh và số 174 Đường Lê Thánh Tôn, Quận 1, Thành phố Hồ Chí Minh với giá trị ghi số tổng công là 63.592.666.838 đồng đang được lưu giữ tại Ngân hàng TMCP Đông Á tại ngày lập báo cáo tài chính riêng này để thế chấp các khoản vay từ ngân hàng này.","Quyền sử dụng đất tại số 52A-52B Đường Nguyễn Văn Trỗi, Quận Phú Nhuận, Thành phố Hồ Chí Minh; số 195A Đường Phan Đăng Lưu, Quận Phú Nhuận, Thành phố Hồ Chí Minh; số 577 Đường Nguyễn Kiệm, Quận Phú Nhuận, Thành phố Hồ Chí Minh và số 174 Đường Lê Thánh Tôn, Quận 1, Thành phố Hồ Chí Minh với giá trị ghi số tổng công là 63.592.666.838 đồng đang được lưu giữ tại Ngân hàng TMCP Đông Á tại ngày lập báo cáo tài chính riêng này để thế chấp các khoản vay từ ngân hàng này.",,,,
(b),(b),(b),Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
,,,Tại ngày1.1.2019VND,TăngVND,GiảmVND,Tại ngày31.12.2019VND,,,,
Vay ngân hàng (*),(b) > Vay ngân hàng (*),Vay ngân hàng (*),7.400.000.000,-,(3.700.000.000),3.700.000.000,7400000000.0,,-3700000000.0,3700000000.0
Vay cá nhân,(b) > Vay cá nhân,Vay cá nhân,400.000.000,-,(400.000.000),-,400000000.0,,-400000000.0,
,,,7.800.000.000,-,(4.100.000.000),3.700.000.000,7800000000.0,,-4100000000.0,3700000000.0
