row_label_raw,row_label_full,18 VAY (tiếp theo),18 VAY (tiếp theo)_1,18 VAY (tiếp theo)_2,18 VAY (tiếp theo)_3,18 VAY (tiếp theo)_4,numeric__18 VAY (tiếp theo)_1,numeric__18 VAY (tiếp theo)_2,numeric__18 VAY (tiếp theo)_3,numeric__18 VAY (tiếp theo)_4
(a) Ngắn hạn (tiếp theo),(a) Ngắn hạn (tiếp theo),(a) Ngắn hạn (tiếp theo),(a) Ngắn hạn (tiếp theo),(a) Ngắn hạn (tiếp theo),(a) Ngắn hạn (tiếp theo),(a) Ngắn hạn (tiếp theo),,,,
(*) Chi tiết các khoản vay ngân hàng ngắn hạn như sau:,(*) Chi tiết các khoản vay ngân hàng ngắn hạn như sau:,(*) Chi tiết các khoản vay ngân hàng ngắn hạn như sau:,(*) Chi tiết các khoản vay ngân hàng ngắn hạn như sau:,(*) Chi tiết các khoản vay ngân hàng ngắn hạn như sau:,(*) Chi tiết các khoản vay ngân hàng ngắn hạn như sau:,(*) Chi tiết các khoản vay ngân hàng ngắn hạn như sau:,,,,
Ngân hàng,Ngân hàng,Ngân hàng,Tại ngày31.12.2019VND,Ngày đáo hạn,Lãi suất(năm)%,Hình thức đảm bảo,,,,
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng > Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,499.861.368.524,Từ ngày 5 tháng 1 năm 2020 đến ngày6 tháng 9 năm 2020,"Từ 6,8% đến 7%",Hàng tồn kho,499861368524.0,,,
Ngân hàng TMCP Ngoại thương,Ngân hàng > Ngân hàng TMCP Ngoại thương,Ngân hàng TMCP Ngoại thương,490.427.204.477,Từ ngày 3 tháng 1 năm 2020 đến ngày4 tháng 8 năm 2020,"6,6%","Quyền sử dụng đất, nhà cửavà hàng tồn kho",490427204477.0,,0.066,
Ngân hàng TMCP Đầu tư và Phát triểnViệt Nam,Ngân hàng > Ngân hàng TMCP Đầu tư và Phát triểnViệt Nam,Ngân hàng TMCP Đầu tư và Phát triểnViệt Nam,300.000.000.000,Từ ngày 15 tháng 2 năm 2020 đếnngày 4 tháng 6 năm 2020,"6,5%",Hàng tồn kho,300000000000.0,,0.065,
Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng > Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,298.893.399.480,Từ ngày 29 tháng 1 năm 2020 đếnngày 11 tháng 3 năm 2020,7%,Tín chấp,298893399480.0,,0.07,
Ngân hàng TMCP Đông Nam Á,Ngân hàng > Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,200.000.000.000,Từ ngày 9 tháng 1 năm 2020 đến ngày13 tháng 3 năm 2020,"6,5%","Quyền sử dụng đất, nhà cửavà hàng tồn kho",200000000000.0,,0.065,
Ngân hàng TMCP Quân đội,Ngân hàng > Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,99.971.329.000,Từ ngày 2 tháng 3 năm 2020 đến ngày30 tháng 4 năm 2020,"6,5%",Tín chấp,99971329000.0,,0.065,
Ngân hàng TNHH Shinhan Việt Nam,Ngân hàng > Ngân hàng TNHH Shinhan Việt Nam,Ngân hàng TNHH Shinhan Việt Nam,97.000.000.000,Từ ngày 1 tháng 1 năm 2020 đến ngày6 tháng 9 năm 2020,"Từ 6,38% đến 6,4%",Tín chấp,97000000000.0,,,
Ngân hàng TNHH CTBC - Chi nhánhHồ Chí Minh,Ngân hàng > Ngân hàng TNHH CTBC - Chi nhánhHồ Chí Minh,Ngân hàng TNHH CTBC - Chi nhánhHồ Chí Minh,92.799.546.320,Từ ngày 25 tháng 1 năm 2020 đếnngày 22 tháng 4 năm 2020,"Từ 5,9% đến 6,3%",Hàng tồn kho,92799546320.0,,,
,,,2.078.952.847.801,,,,2078952847801.0,,,
