row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,2019 VND,2018 VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__2019 VND,numeric__2018 VND
300,300,300,NỘ PHẢI TRẢ,,3.440.009.205.304,2.543.666.800.727,,,3440009205304.0,2543666800727.0
310,310,310,Nợ ngắn hạn,,3.432.402.203.304,2.531.807.778.727,,,3432402203304.0,2531807778727.0
311,311,311,Phải trả người bán ngắn hạn,12,619.571.810.553,465.422.796.887,,12.0,619571810553.0,465422796887.0
312,312,312,Người mua trả tiền trước ngắn hạn,13,58.403.718.325,52.773.513.870,,13.0,58403718325.0,52773513870.0
313,313,313,Thuế và các khoản phải nộp Nhà nước,14,165.567.273.128,140.710.949.415,,14.0,165567273128.0,140710949415.0
314,314,314,Phải trả người lao động,15,175.648.804.619,188.482.808.253,,15.0,175648804619.0,188482808253.0
315,315,315,Chi phí phải trả ngắn hạn,16,40.171.657.351,10.106.931.424,,16.0,40171657351.0,10106931424.0
319,319,319,Phải trả ngắn hạn khác,17,48.233.642.368,41.529.698.782,,17.0,48233642368.0,41529698782.0
320,320,320,Vay ngắn hạn,18(a),2.234.770.938.231,1.570.482.498.026,,,2234770938231.0,1570482498026.0
322,322,322,"Quỹ khen thưởng, phúc lợi",19,90.034.358.729,62.298.582.070,,19.0,90034358729.0,62298582070.0
330,330,330,Nợ dài hạn,,7.607.002.000,11.859.022.000,,,7607002000.0,11859022000.0
337,337,337,Phải trả dài hạn khác,,476.006.000,628.026.000,,,476006000.0,628026000.0
338,338,338,Vay dài hạn,18(b),3.700.000.000,7.800.000.000,,,3700000000.0,7800000000.0
342,342,342,Dự phòng phải trả dài hạn,20,3.430.996.000,3.430.996.000,,20.0,3430996000.0,3430996000.0
400,400,400,VỐN CHỦ SỞ HỮU,,4.520.186.999.224,3.723.906.597.362,,,4520186999224.0,3723906597362.0
410,410,410,Vốn chủ sở hữu,,4.520.186.999.224,3.723.906.597.362,,,4520186999224.0,3723906597362.0
411,411,411,Vốn góp của chủ sở hữu,"22, 23",2.252.935.850.000,1.670.029.820.000,,,2252935850000.0,1670029820000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,2.252.935.850.000,1.670.029.820.000,,,2252935850000.0,1670029820000.0
412,412,412,Thặng dư vốn cổ phần,23,968.074.112.458,925.397.862.458,,23.0,968074112458.0,925397862458.0
415,415,415,Cổ phiếu quỹ,23,(2.101.090.000),(7.090.000),,23.0,-2101090000.0,-7090000.0
418,418,418,Quỹ đầu tư phát triển,23,313.083.556.918,265.087.556.918,,23.0,313083556918.0,265087556918.0
421,421,421,"Lợi nhuận sau thuế (""LNST"") chưa phân phối",23,988.194.569.848,863.398.447.986,,23.0,988194569848.0,863398447986.0
421a,421a,421a,- LNST chưa phân phối lũy kế của các năm trước,,8.315.394.986,84.296.154.226,,,8315394986.0,84296154226.0
421b,421b,421b,- LNST chưa phân phối của năm nay,,979.879.174.862,779.102.293.760,,,979879174862.0,779102293760.0
440,440,440,TỔNG NGUỒN VỐN,,7.960.196.204.528,6.267.573.398.089,,,7960196204528.0,6267573398089.0
