row_label_raw,row_label_full,col_0,Mã số,Phân loại lại > VND,Đã trình bày trên báo cáo kỳ trước > VND,numeric__Mã số,numeric__Phân loại lại > VND,numeric__Đã trình bày trên báo cáo kỳ trước > VND
Báo cáo Kết quả kinh doanh,Báo cáo Kết quả kinh doanh,Báo cáo Kết quả kinh doanh,Báo cáo Kết quả kinh doanh,Báo cáo Kết quả kinh doanh,Báo cáo Kết quả kinh doanh,,,
Doanh thu bán hàng và cung cấp dịch vụ,Báo cáo Kết quả kinh doanh > Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,7.832.521.915.490,8.000.663.344.098,1.0,7832521915490.0,8000663344098.0
Các khoản giảm trừ doanh thu,Báo cáo Kết quả kinh doanh > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,12.617.315.216,180.758.743.824,2.0,12617315216.0,180758743824.0
