row_label_raw,row_label_full,col_0,Nhóm bắt động sản và xây dựng,"Nhóm Kính, Sử, Sen vòi, Phụ kiện",Nhóm gạch ốp lát,"Nhóm gạch, ngói đất sét nung",Các bộ phận khác,Loại trừ,Tổng cộng toàn Doanh nghiệp,numeric__Nhóm bắt động sản và xây dựng,"numeric__Nhóm Kính, Sử, Sen vòi, Phụ kiện",numeric__Nhóm gạch ốp lát,"numeric__Nhóm gạch, ngói đất sét nung",numeric__Các bộ phận khác,numeric__Loại trừ,numeric__Tổng cộng toàn Doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,1.738.169.592.815,2.143.929.834.569,1.965.523.116.255,2.059.030.595.668,232.125.674.832,-,8.138.778.814.139,1738169592815.0,2143929834569.0,1965523116255.0,2059030595668.0,232125674832.0,,8138778814139.0
Giá vốn của hàng bán,Giá vốn của hàng bán,Giá vốn của hàng bán,1.391.999.377.304,1.469.971.519.308,1.503.315.898.760,1.587.988.093.859,206.823.448.773,-,6.160.098.338.004,1391999377304.0,1469971519308.0,1503315898760.0,1587988093859.0,206823448773.0,,6160098338004.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,346.170.215.511,673.958.315.261,462.207.217.495,471.042.501.809,25.302.226.059,-,1.978.680.476.135,346170215511.0,673958315261.0,462207217495.0,471042501809.0,25302226059.0,,1978680476135.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,671.824.954.202,304.240.043.609,53.994.252.718,133.766.908.586,9.907.855.713,-,1.173.734.014.828,671824954202.0,304240043609.0,53994252718.0,133766908586.0,9907855713.0,,1173734014828.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,10.611.591.259.176,1.954.596.530.000,1.384.099.118.220,1.449.848.657.430,301.440.651.545,(3.027.189.437.529),12.674.386.778.842,10611591259176.0,1954596530000.0,1384099118220.0,1449848657430.0,301440651545.0,-3027189437529.0,12674386778842.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,315.075.349.212,,,,,,,315075349212.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,10.611.591.259.176,1.954.596.530.000,1.384.099.118.220,1.449.848.657.430,301.440.651.545,(3.027.189.437.529),12.989.462.128.054,10611591259176.0,1954596530000.0,1384099118220.0,1449848657430.0,301440651545.0,-3027189437529.0,12989462128054.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,7.629.514.987.343,1.755.579.028.547,1.041.917.119.441,900.602.585.074,214.361.342.863,(2.919.626.982.260),8.622.348.081.008,7629514987343.0,1755579028547.0,1041917119441.0,900602585074.0,214361342863.0,-2919626982260.0,8622348081008.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,7.629.514.987.343,1.755.579.028.547,1.041.917.119.441,900.602.585.074,214.361.342.863,(2.919.626.982.260),8.622.348.081.008,7629514987343.0,1755579028547.0,1041917119441.0,900602585074.0,214361342863.0,-2919626982260.0,8622348081008.0
