row_label_raw,row_label_full,col_0,Tại công ty mẹ [1],Tại Công ty con [2],Tổng Cộng,numeric__Tại công ty mẹ [1],numeric__Tại Công ty con [2],numeric__Tổng Cộng
,,,VND,VND,VND,,,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",9.044.614.000,6.532.933.364,15.577.547.364,9044614000.0,6532933364.0,15577547364.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,105.800.000.000,-,105.800.000.000,105800000000.0,,105800000000.0
