row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộpđầu năm,Số phải nộptrong năm,Số đã thực nộptrong năm,Giảm do thoàivốn công ty con,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộpđầu năm,numeric__Số phải nộptrong năm,numeric__Số đã thực nộptrong năm,numeric__Giảm do thoàivốn công ty con,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,33.913.153.630,119.488.443.029,452.032.360.192,456.022.359.849,614.262.361,13.300.503.093,94.271.530.474,33913153630.0,119488443029.0,452032360192.0,456022359849.0,614262361.0,13300503093.0,94271530474.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",91.312.074,21.776.787,8.843.265.584,8.967.890.978,-,194.922.456,761.775,91312074.0,21776787.0,8843265584.0,8967890978.0,,194922456.0,761775.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,270.987.197,85.743.401.536,155.000.354.605,155.288.946.331,-,233.968.169,85.417.790.782,270987197.0,85743401536.0,155000354605.0,155288946331.0,,233968169.0,85417790782.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,121.939.221,11.837.567.488,12.769.688.224,14.061.593.407,16.136.534,18.128.035,10.425.714.585,121939221.0,11837567488.0,12769688224.0,14061593407.0,16136534.0,18128035.0,10425714585.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,29.055.827,3.780.074.373,11.732.840.872,13.484.692.814,38.862.240,10.772.534,1.971.076.898,29055827.0,3780074373.0,11732840872.0,13484692814.0,38862240.0,10772534.0,1971076898.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,723.838.834,161.304.024.150,62.457.880.539,142.124.331.160,-,370.939.155,81.284.673.850,723838834.0,161304024150.0,62457880539.0,142124331160.0,,370939155.0,81284673850.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,21.001.822.469,13.608.761.465,33.359.043.920,-,240.360.098,1.491.900.112,,21001822469.0,13608761465.0,33359043920.0,,240360098.0,1491900112.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",171.920.546,11.603.834.770,85.142.781.352,70.295.575.136,24.500.904,374.257.919,26.628.877.455,171920546.0,11603834770.0,85142781352.0,70295575136.0,24500904.0,374257919.0,26628877455.0
,,,35.322.207.329,414.780.944.602,801.587.932.833,893.604.433.595,693.762.039,14.743.851.459,301.492.325.931,35322207329.0,414780944602.0,801587932833.0,893604433595.0,693762039.0,14743851459.0,301492325931.0
