row_label_raw,row_label_full,col_0,Từ 1 năm trở xuống,Trên 1 năm đến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 năm trở xuống,numeric__Trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,,,,
Vay và nợ,Tại ngày 31/12/2016 > Vay và nợ,Vay và nợ,1.122.466.770.048,1.023.679.668.358,-,2.146.146.438.406,1122466770048.0,1023679668358.0,,2146146438406.0
"Phải trả người bán, phải trả khác","Tại ngày 31/12/2016 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",1.402.189.773.685,46.174.921.625,-,1.448.364.695.310,1402189773685.0,46174921625.0,,1448364695310.0
Chi phí phải trả,Tại ngày 31/12/2016 > Chi phí phải trả,Chi phí phải trả,778.851.254.273,15.868.080.683,-,794.719.334.956,778851254273.0,15868080683.0,,794719334956.0
,,,3.303.507.798.006,1.085.722.670.666,-,4.389.230.468.672,3303507798006.0,1085722670666.0,,4389230468672.0
Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,,,,
Vay và nợ,Tại ngày 01/01/2016 > Vay và nợ,Vay và nợ,1.429.033.458.824,811.323.863.751,-,2.240.357.322.575,1429033458824.0,811323863751.0,,2240357322575.0
"Phải trả người bán, phải trả khác","Tại ngày 01/01/2016 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",1.443.262.341.867,40.260.058.179,-,1.483.522.400.046,1443262341867.0,40260058179.0,,1483522400046.0
Chi phí phải trả,Tại ngày 01/01/2016 > Chi phí phải trả,Chi phí phải trả,685.445.692.646,11.529.606.017,-,696.975.298.663,685445692646.0,11529606017.0,,696975298663.0
,,,3.557.741.493.337,863.113.527.947,-,4.420.855.021.284,3557741493337.0,863113527947.0,,4420855021284.0
