row_label_raw,row_label_full,a) Tài sản nhận giữ hộ,a) Tài sản nhận giữ hộ_1,a) Tài sản nhận giữ hộ_2,numeric__a) Tài sản nhận giữ hộ_1,numeric__a) Tài sản nhận giữ hộ_2
,,,31/12/2016,01/01/2016,,
,,,VND,VND,,
"Vật tư hàng hóa nhận giữ hộ, gia công, nhận ủy thác","Vật tư hàng hóa nhận giữ hộ, gia công, nhận ủy thác","Vật tư hàng hóa nhận giữ hộ, gia công, nhận ủy thác",719.656.650,1.757.391.022,719656650.0,1757391022.0
b) Ngoại tệ các loại,b) Ngoại tệ các loại,b) Ngoại tệ các loại,b) Ngoại tệ các loại,b) Ngoại tệ các loại,,
,,,31/12/2016,01/01/2016,,
USD,b) Ngoại tệ các loại > USD,USD,"809.181,94","3.119.955,07",809181.94,3119955.07
EUR,b) Ngoại tệ các loại > EUR,EUR,"2.936,54","188.012,75",2936.54,188012.75
GBP,b) Ngoại tệ các loại > GBP,GBP,"437,00","437,00",437.0,437.0
c) Nợ khó đòi đã xử lý,c) Nợ khó đòi đã xử lý,c) Nợ khó đòi đã xử lý,c) Nợ khó đòi đã xử lý,c) Nợ khó đòi đã xử lý,,
,,,31/12/2016,01/01/2016,,
,,,VND,VND,,
,,,2.404.931.339,2.345.769.952,2404931339.0,2345769952.0
