row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thăng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn Chủ sở hữu,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Nguồn vốn đầu tư XDCB,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thăng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn Chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Nguồn vốn đầu tư XDCB,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.645.000.000.000,3.839.113.235,7.362.984.856,(148.162.639),(193.544.307.015),97.219.521.936,6.874.279.135,75.061.752.116,289.147.873.758,-,2.930.813.055.382,2645000000000.0,3839113235.0,7362984856.0,-148162639.0,-193544307015.0,97219521936.0,6874279135.0,75061752116.0,289147873758.0,,2930813055382.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,-,-,328.387.236.703,-,-,328.387.236.703,,,,,,,,328387236703.0,,,328387236703.0
Phát hành cổ phiếu thường tại công ty con,Phát hành cổ phiếu thường tại công ty con,Phát hành cổ phiếu thường tại công ty con,-,(8.236.500.000),15.810.000.000,-,-,-,-,(7.573.500.000),-,-,-,,-8236500000.0,15810000000.0,,,,,-7573500000.0,,,
Trả cổ tức bằng tiền mật,Trả cổ tức bằng tiền mật,Trả cổ tức bằng tiền mật,-,-,-,-,-,-,-,(66.125.000.000),-,-,(66.125.000.000),,,,,,,,-66125000000.0,,,-66125000000.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,76.993.800,-,-,4.825.975.652,-,(4.902.969.452),-,-,-,,,76993800.0,,,4825975652.0,,-4902969452.0,,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,(13.488.174.193),-,-,(13.488.174.193),,,,,,,,-13488174193.0,,,-13488174193.0
Tăng khác,Tăng khác,Tăng khác,-,(10.761.000),-,-,-,-,-,677.844.229,-,67.000.000.000,67.667.083.229,,-10761000.0,,,,,,677844229.0,,67000000000.0,67667083229.0
Phân chia lợi nhuận cho đối tác,Phân chia lợi nhuận cho đối tác,Phân chia lợi nhuận cho đối tác,-,-,-,-,-,-,-,(592.186.062),-,-,(592.186.062),,,,,,,,-592186062.0,,,-592186062.0
Do điều chỉnh hồi tố lợi nhuận năm trước,Do điều chỉnh hồi tố lợi nhuận năm trước,Do điều chỉnh hồi tố lợi nhuận năm trước,-,-,-,-,-,-,-,(7.781.208.656),-,-,(7.781.208.656),,,,,,,,-7781208656.0,,,-7781208656.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,(1.713.600),-,-,-,-,-,-,(1.713.600),,,,-1713600.0,,,,,,,-1713600.0
Lợi ích cổ đông không kiểm soát tăng trong năm,Lợi ích cổ đông không kiểm soát tăng trong năm,Lợi ích cổ đông không kiểm soát tăng trong năm,-,-,-,-,-,-,-,-,48.022.279.790,-,48.022.279.790,,,,,,,,,48022279790.0,,48022279790.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.645.000.000.000,(4.408.147.765),23.249.978.656,(149.876.239),(193.544.307.015),102.045.497.588,6.874.279.135,303.663.794.685,337.170.153.548,67.000.000.000,3.286.901.372.593,2645000000000.0,-4408147765.0,23249978656.0,-149876239.0,-193544307015.0,102045497588.0,6874279135.0,303663794685.0,337170153548.0,67000000000.0,3286901372593.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.645.000.000.000,(4.408.147.765),23.249.978.656,(149.876.239),(193.544.307.015),102.045.497.588,6.874.279.135,303.663.794.685,337.170.153.548,67.000.000.000,3.286.901.372.593,2645000000000.0,-4408147765.0,23249978656.0,-149876239.0,-193544307015.0,102045497588.0,6874279135.0,303663794685.0,337170153548.0,67000000000.0,3286901372593.0
Tăng vốn trong năm nay [1],Tăng vốn trong năm nay [1],Tăng vốn trong năm nay [1],425.000.000.000,138.378.510.000,-,-,-,-,-,-,-,-,563.378.510.000,425000000000.0,138378510000.0,,,,,,,,,563378510000.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,-,-,-,513.750.218.906,-,-,513.750.218.906,,,,,,,,513750218906.0,,,513750218906.0
Công ty con dùng các quỹ bù đáp lỗ lũy kế [2],Công ty con dùng các quỹ bù đáp lỗ lũy kế [2],Công ty con dùng các quỹ bù đáp lỗ lũy kế [2],-,(13.521.442.674),(966.936.151),-,-,(4.062.055.249),(139.482.162),18.689.916.236,-,-,-,,-13521442674.0,-966936151.0,,,-4062055249.0,-139482162.0,18689916236.0,,,
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,(105.800.000.000),-,-,(105.800.000.000),,,,,,,,-105800000000.0,,,-105800000000.0
