row_label_raw,row_label_full,Hà Nội,Xây dựng và kinh doanh bất động sản,numeric__Xây dựng và kinh doanh bất động sản
Bình Dương,Bình Dương,Bình Dương,"Sản xuất, kinh doanh sử vệ sinh và phụ kiện",
Bình Dương,Bình Dương,Bình Dương,Sản xuất và kinh doanh kính nổi,
Hà Nội,Hà Nội,Hà Nội,Xây dựng và kinh doanh bất động sản,
Bắc Ninh,Bắc Ninh,Bắc Ninh,Kinh doanh bất động sản,
Bắc Ninh,Bắc Ninh,Bắc Ninh,"Đầu tư, xây dựng các công trình, dự án bất động sản",
Bắc Ninh,Bắc Ninh,Bắc Ninh,Xây dựng và kinh doanh bất động sản,
Hà Nội,Hà Nội,Hà Nội,Sản xuất và kinh doanh thiết bị vệ sinh,
Hà Nội,Hà Nội,Hà Nội,Nghiên cứu và phát triển Công nghệ,
Bắc Ninh,Bắc Ninh,Bắc Ninh,Đào tạo nghề,
Bình Dương,Bình Dương,Bình Dương,Đầu tư xây dựng dây chuyển Sản xuất Kính tiết kiệm năng lượng,
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Đầu tư xây dựng Nhà máy Sử Viglacera Mỹ Xuân,
