row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụquản lý",Tài sản cố địnhkhác,Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Tài sản cố địnhkhác,numeric__Cộng
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,132.131.282.119,196.693.939.185,13.514.711.755,1.569.209.281,647.503.956,344.556.646.296,132131282119.0,196693939185.0,13514711755.0,1569209281.0,647503956.0,344556646296.0
- Tăng do mua lại TSCĐ thuê tài chính,Giá trị hao mòn luỹ kế > - Tăng do mua lại TSCĐ thuê tài chính,- Tăng do mua lại TSCĐ thuê tài chính,-,-,2.302.500.242,-,-,2.302.500.242,,,2302500242.0,,,2302500242.0
- Do phân loại lại,Giá trị hao mòn luỹ kế > - Do phân loại lại,- Do phân loại lại,681.821.831,(502.312.450),(110.793.207),447.685.705,56.272.420,572.674.299,681821831.0,-502312450.0,-110793207.0,447685705.0,56272420.0,572674299.0
"- Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(4.492.122.177),(592.039.090),-,-,(5.084.161.267),,-4492122177.0,-592039090.0,,,-5084161267.0
- Giảm do thoái vốn công ty con,Giá trị hao mòn luỹ kế > - Giảm do thoái vốn công ty con,- Giảm do thoái vốn công ty con,(35.930.457.756),(60.181.440.400),(1.239.106.164),(452.083.254),-,(97.803.087.574),-35930457756.0,-60181440400.0,-1239106164.0,-452083254.0,,-97803087574.0
- Giảm khác,Giá trị hao mòn luỹ kế > - Giảm khác,- Giảm khác,(289.636.867),(13.237.037),-,(253.738.098),-,(556.612.002),-289636867.0,-13237037.0,,-253738098.0,,-556612002.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,1.191.023.272.253,2.473.970.398.657,160.626.388.347,17.931.618.906,5.857.960.791,3.849.409.638.954,1191023272253.0,2473970398657.0,160626388347.0,17931618906.0,5857960791.0,3849409638954.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.641.762.079.280,1.200.238.173.162,60.024.253.582,4.996.667.453,5.607.852.535,2.912.629.026.012,1641762079280.0,1200238173162.0,60024253582.0,4996667453.0,5607852535.0,2912629026012.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.586.958.473.365,1.276.448.817.190,62.374.786.863,3.173.462.455,5.124.604.983,2.934.080.144.856,1586958473365.0,1276448817190.0,62374786863.0,3173462455.0,5124604983.0,2934080144856.0
