row_label_raw,row_label_full,col_0,Nhà và quyền sử dụng đất,Cơ sở hạ tầng,Cộng,numeric__Nhà và quyền sử dụng đất,numeric__Cơ sở hạ tầng,numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,926.131.003.093,1.335.737.718.285,2.261.868.721.378,926131003093.0,1335737718285.0,2261868721378.0
- Tăng từ đầu tư xây dựng cơ bản,Nguyên giá > - Tăng từ đầu tư xây dựng cơ bản,- Tăng từ đầu tư xây dựng cơ bản,289.730.149.439,-,289.730.149.439,289730149439.0,,289730149439.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,12.406.364,-,12.406.364,12406364.0,,12406364.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.215.873.558.896,1.335.737.718.285,2.551.611.277.181,1215873558896.0,1335737718285.0,2551611277181.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,146.938.378.464,201.475.635.257,348.414.013.721,146938378464.0,201475635257.0,348414013721.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,42.107.429.082,30.847.937.153,72.955.366.235,42107429082.0,30847937153.0,72955366235.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,189.045.807.546,232.323.572.410,421.369.379.956,189045807546.0,232323572410.0,421369379956.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,779.192.624.629,1.134.262.083.028,1.913.454.707.657,779192624629.0,1134262083028.0,1913454707657.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.026.827.751.350,1.103.414.145.875,2.130.241.897.225,1026827751350.0,1103414145875.0,2130241897225.0
