row_label_raw,row_label_full,col_0,"Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn",Cộng,"numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn",numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,44.830.436.373,19.240.533.282,64.070.969.655,44830436373.0,19240533282.0,64070969655.0
- Thuê tài chính trong năm,Nguyên giá > - Thuê tài chính trong năm,- Thuê tài chính trong năm,1.111.160.690,10.070.089.637,11.181.250.327,1111160690.0,10070089637.0,11181250327.0
- Mua lại TSCĐ thuê tài chính,Nguyên giá > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,-,(3.937.578.182),(3.937.578.182),,-3937578182.0,-3937578182.0
- Trả lại TSCĐ thuê tài chính,Nguyên giá > - Trả lại TSCĐ thuê tài chính,- Trả lại TSCĐ thuê tài chính,-,(1.262.678.750),(1.262.678.750),,-1262678750.0,-1262678750.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,45.941.597.063,24.110.365.987,70.051.963.050,45941597063.0,24110365987.0,70051963050.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,8.707.493.174,4.830.021.933,13.537.515.107,8707493174.0,4830021933.0,13537515107.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,6.083.584.013,3.891.604.401,9.975.188.414,6083584013.0,3891604401.0,9975188414.0
- Mua lại TSCĐ thuê tài chính,Giá trị hao mòn luỹ kế > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,-,(1.904.288.668),(1.904.288.668),,-1904288668.0,-1904288668.0
- Trả lại TSCĐ thuê tài chính,Giá trị hao mòn luỹ kế > - Trả lại TSCĐ thuê tài chính,- Trả lại TSCĐ thuê tài chính,-,(1.262.678.750),(1.262.678.750),,-1262678750.0,-1262678750.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,14.791.077.187,5.554.658.916,20.345.736.103,14791077187.0,5554658916.0,20345736103.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,36.122.943.199,14.410.511.349,50.533.454.548,36122943199.0,14410511349.0,50533454548.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,31.150.519.876,18.555.707.071,49.706.226.947,31150519876.0,18555707071.0,49706226947.0
