row_label_raw,row_label_full,col_0,Địa chỉ,31/12/2016 > Tỷ lệ lợi ích,31/12/2016 > Tỷ lệ quyền biểu quyết,31/12/2016 > Giá trị ghi số,01/01/2016 > Tỷ lệ lợi ích,01/01/2016 > Tỷ lệ quyền biểu quyết,01/01/2016 > Giá trị ghi số,numeric__Địa chỉ,numeric__31/12/2016 > Tỷ lệ lợi ích,numeric__31/12/2016 > Tỷ lệ quyền biểu quyết,numeric__31/12/2016 > Giá trị ghi số,numeric__01/01/2016 > Tỷ lệ lợi ích,numeric__01/01/2016 > Tỷ lệ quyền biểu quyết,numeric__01/01/2016 > Giá trị ghi số
,,,Địa chỉ,%,%,VND,%,%,VND,,,,,,,
Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,,,,49.329.643.497,,,25.178.549.045,,,,49329643497.0,,,25178549045.0
- Công ty Cổ phần Viglacera Từ Sơn,- Công ty Cổ phần Viglacera Từ Sơn,- Công ty Cổ phần Viglacera Từ Sơn,Bắc Ninh,"24,93%","24,93%",11.528.560.571,"24,93%","24,93%",11.348.189.227,,0.2493,0.2493,11528560571.0,0.2493,0.2493,11348189227.0
- Công ty Cổ phần Viglacera Hạ Long I,- Công ty Cổ phần Viglacera Hạ Long I,- Công ty Cổ phần Viglacera Hạ Long I,Bắc Ninh,"26,00%","26,00%",5.890.476.376,"26,00%","26,00%",5.062.619.209,,0.26,0.26,5890476376.0,0.26,0.26,5062619209.0
- Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,- Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,- Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Quảng Ninh,"25,00%","25,00%",7.116.957.517,"25,00%","25,00%",6.982.571.465,,0.25,0.25,7116957517.0,0.25,0.25,6982571465.0
- Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Dương,- Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Dương,- Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Dương,Hà Nội,"25,00%","25,00%",2.994.299.627,"25,00%","25,00%",1.558.984.144,,0.25,0.25,2994299627.0,0.25,0.25,1558984144.0
- Công ty Magno GMBH [1],- Công ty Magno GMBH [1],- Công ty Magno GMBH [1],CH Liên Bang Đức,"23,59%","30,00%",226.185.000,"23,59%","30,00%",226.185.000,,0.2359,0.3,226185000.0,0.2359,0.3,226185000.0
- Công ty Cổ phần Viglacera Hạ Long II [2],- Công ty Cổ phần Viglacera Hạ Long II [2],- Công ty Cổ phần Viglacera Hạ Long II [2],Quảng Ninh,"31,78%","40,00%",16.173.164.406,,,-,,0.3178,0.4,16173164406.0,,,
- Công ty Cổ phần Visaho [3],- Công ty Cổ phần Visaho [3],- Công ty Cổ phần Visaho [3],Hà Nội,"36,00%","36,00%",5.400.000.000,,,-,,0.36,0.36,5400000000.0,,,
Đầu tư vào Công ty liên doanh,Đầu tư vào Công ty liên doanh,Đầu tư vào Công ty liên doanh,,,,262.563.927.398,,,213.943.758.159,,,,262563927398.0,,,213943758159.0
- Công ty TNHH Kính nổi Việt Nam (VFG),- Công ty TNHH Kính nổi Việt Nam (VFG),- Công ty TNHH Kính nổi Việt Nam (VFG),Bắc Ninh,"29,28%","29,28%",262.563.927.398,"29,28%","29,28%",213.943.758.159,,0.2928,0.2928,262563927398.0,0.2928,0.2928,213943758159.0
,,,,,,311.893.570.895,,,239.122.307.204,,,,311893570895.0,,,239122307204.0
