row_label_raw,row_label_full,col_0,"Buildings, structures",Machinery and equipment,Means of transport,Management equipment,Others,Unit: VND Total,"numeric__Buildings, structures",numeric__Machinery and equipment,numeric__Means of transport,numeric__Management equipment,numeric__Others,numeric__Unit: VND Total
Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,,,,,,
Opening balance,Opening balance,Opening balance,"121,352,969,184","11,141,421,213","38,346,916,543","17,019,917,879","1,103,620,455","188,964,845,274",,,,,,
Purchases,Purchases,Purchases,-,-,"5,284,400,273","107,380,000","88,680,000","5,480,460,273",,,,,,
"Liquidating, disposing","Liquidating, disposing","Liquidating, disposing","(529,291,744)","(41,000,000)","(5,599,427,273)","(49,179,790)","(186,902,273)","(6,405,801,080)",,,,,,
Closing balance,Closing balance,Closing balance,"120,823,677,440","11,100,421,213","38,031,889,543","17,078,118,089","1,005,398,182","188,039,504,467",,,,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,,,
Opening balance,Opening balance,Opening balance,"14,581,837,951","5,387,778,946","18,202,055,692","5,162,679,562","383,306,953","43,717,659,104",,,,,,
Depreciation,Depreciation,Depreciation,"3,713,894,988","744,813,309","3,619,040,301","1,987,103,289","138,100,919","10,202,952,806",,,,,,
"Liquidating, disposing","Liquidating, disposing","Liquidating, disposing","(529,291,744)","(27,333,330)","(2,357,724,990)","(49,179,790)","(130,902,269)","(3,094,432,123)",,,,,,
Closing balance,Closing balance,Closing balance,"17,766,441,195","6,105,258,925","19,463,371,003","7,100,603,061","390,505,603","50,826,179,787",,,,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,,,
Opening,Opening,Opening,"106,771,131,233","5,753,642,267","20,144,860,851","11,857,238,317","720,313,502","145,247,186,170",,,,,,
Closing,Closing,Closing,"103,057,236,245","4,995,162,288","18,568,518,540","9,977,515,028","614,892,579","137,213,324,680",,,,,,
