row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc,Máy móc thiết bị,Phương tiện vận tải,Thiết bị quản lý,Tài sản cố định khác,Don vị tính: VND Tổng cộng,numeric__Nhà cửa vật kiến trúc,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị quản lý,numeric__Tài sản cố định khác,numeric__Don vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,121.352.969.184,11.141.421.213,38.346.916.543,17.019.917.879,1.103.620.455,188.964.845.274,121352969184.0,11141421213.0,38346916543.0,17019917879.0,1103620455.0,188964845274.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,5.284.400.273,107.380.000,88.680.000,5.480.460.273,,,5284400273.0,107380000.0,88680000.0,5480460273.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(529.291.744),(41.000.000),(5.599.427.273),(49.179.790),(186.902.273),(6.405.801.080),-529291744.0,-41000000.0,-5599427273.0,-49179790.0,-186902273.0,-6405801080.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,120.823.677.440,11.100.421.213,38.031.889.543,17.078.118.089,1.005.398.182,188.039.504.467,120823677440.0,11100421213.0,38031889543.0,17078118089.0,1005398182.0,188039504467.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,14.581.837.951,5.387.778.946,18.202.055.692,5.162.679.562,383.306.953,43.717.659.104,14581837951.0,5387778946.0,18202055692.0,5162679562.0,383306953.0,43717659104.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,3.713.894.988,744.813.309,3.619.040.301,1.987.103.289,138.100.919,10.202.952.806,3713894988.0,744813309.0,3619040301.0,1987103289.0,138100919.0,10202952806.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(529.291.744),(27.333.330),(2.357.724.990),(49.179.790),(130.902.269),(3.094.432.123),-529291744.0,-27333330.0,-2357724990.0,-49179790.0,-130902269.0,-3094432123.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,17.766.441.195,6.105.258.925,19.463.371.003,7.100.603.061,390.505.603,50.826.179.787,17766441195.0,6105258925.0,19463371003.0,7100603061.0,390505603.0,50826179787.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,106.771.131.233,5.753.642.267,20.144.860.851,11.857.238.317,720.313.502,145.247.186.170,106771131233.0,5753642267.0,20144860851.0,11857238317.0,720313502.0,145247186170.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,103.057.236.245,4.995.162.288,18.568.518.540,9.977.515.028,614.892.579,137.213.324.680,103057236245.0,4995162288.0,18568518540.0,9977515028.0,614892579.0,137213324680.0
