row_label_raw,row_label_full,Num ber > 4.,Name > Development Investment Construction Number 2 Joint Stock Company,"Registered office address > 5, Street 6, Chi Linh Urban Area, Thang Nhat Ward, Vung Tau City, Ba Ria - Vung Tau Province",Principal activities > Manufacturing and trading construction materials; real estate business,Ownership > End of year % > 50.14,Ownership > Beginn ing of year % > 50.14,Voting right > End of year % > 50.14,Voting right > Beginn ing of year % > 50.14,numeric__Name > Development Investment Construction Number 2 Joint Stock Company,"numeric__Registered office address > 5, Street 6, Chi Linh Urban Area, Thang Nhat Ward, Vung Tau City, Ba Ria - Vung Tau Province",numeric__Principal activities > Manufacturing and trading construction materials; real estate business,numeric__Ownership > End of year % > 50.14,numeric__Ownership > Beginn ing of year % > 50.14,numeric__Voting right > End of year % > 50.14,numeric__Voting right > Beginn ing of year % > 50.14
5.,5.,5.,DIC Vision Development Investment Joint Stock Company,"265 Le Hong Phong street, Ward 8, Vung Tau City, Ba Ria - Vung Tau Province","Real estate business; management consulting activities; educations; care, nursing",98.67,98.67,98.67,98.67,,,,9867.0,9867.0,9867.0,9867.0
6.,6.,6.,Dai Phuoc Thien An Company Limited,"Dai Phuoc commune, Nhon Trach district, Dong Nai province",Real estate business,99.96,99.96,99.96,99.96,,,,9996.0,9996.0,9996.0,9996.0
7.,7.,7.,DIC Urban and Industrial zone Development Company Limited,"15 Thi Sach Street, Thang Tam Ward, Vung Tau City",Investment in Industrial Park,100,100,100,100,,,,100.0,100.0,100.0,100.0
8.,8.,8.,Dai Phuoc Thien Minh Company Limited,"Sub-areas 1,2,3 Dai Phuoc Eco-tourism Urban Area, Dai Phuoc Commune, Nhon Trach District, Dong Nai Province",Real estate business,99.99,99.99,99.99,99.99,,,,9999.0,9999.0,9999.0,9999.0
9.,9.,9.,Vung Tau Sports Tourism Development Investment Joint Stock Company (Indirect ownership),"B12 Chi Linh Urban Center, Nguyen An Ninh Ward, Vung Tau City, Ba Ria - Vung Tau Province",Golf course business and related services,66.85,64.39,82.24,82.24,,,,6685.0,6439.0,8224.0,8224.0
10.,10.,10.,Sports TOTO Vietnam Joint Stock Company (Indirect ownership),"B12 Chi Linh Urban Center, Nguyen An Ninh Ward, Vung Tau City, Ba Ria - Vung Tau Province",Management consulting activities,43.92,42.31,54.03,65.70,,,,4392.0,4231.0,5403.0,6570.0
11.,11.,11.,E&S Development Joint Stock Company (Indirect ownership),"B12 Chi Linh Urban Center, Nguyen An Ninh Ward, Vung Tau City, Ba Ria - Vung Tau Province",Construction of other civil engineering works,65.08,63.53,80.06,98.66,,,,6508.0,6353.0,8006.0,9866.0
