row_label_raw,row_label_full,- Building and structures,07 - 35 years,numeric__07 - 35 years
- Machinery & equipment,- Machinery & equipment,- Machinery & equipment,04 - 10 years,
- Means of transportation,- Means of transportation,- Means of transportation,06 - 10 years,
- Management equipment,- Management equipment,- Management equipment,04 - 10 years,
- Others,- Others,- Others,05 years,
- Land use rights,- Land use rights,- Land use rights,38 years,
- Software,- Software,- Software,03 years,
