row_label_raw,row_label_full,Khách hàng Dự án Khu đô thị mới Nam Vĩnh Yên,Số cuối nămVND > 1.273.246.165.450,Số đầu nămVND > 1.154.188.323.011,numeric__Số cuối nămVND > 1.273.246.165.450,numeric__Số đầu nămVND > 1.154.188.323.011
Khách hàng Dự án Căn hộ Chung cư A2-1 Khu Chí,Khách hàng Dự án Căn hộ Chung cư A2-1 Khu Chí,Khách hàng Dự án Căn hộ Chung cư A2-1 Khu Chí,843.390.510.337,172.454.594.804,843390510337.0,172454594804.0
"Linh Center, Vũng Tàu","Linh Center, Vũng Tàu","Linh Center, Vũng Tàu",,,,
Khách hàng Dự án Khu dân cư Thương mại Vị Thanh,"Linh Center, Vũng Tàu > Khách hàng Dự án Khu dân cư Thương mại Vị Thanh",Khách hàng Dự án Khu dân cư Thương mại Vị Thanh,129.288.849.766,150.177.830.024,129288849766.0,150177830024.0
Khách hàng Dự án Khu trung tâm Chí Linh - Vũng Tàu,"Linh Center, Vũng Tàu > Khách hàng Dự án Khu trung tâm Chí Linh - Vũng Tàu",Khách hàng Dự án Khu trung tâm Chí Linh - Vũng Tàu,57.792.277.689,57.792.277.689,57792277689.0,57792277689.0
Khách hàng Dự án Du lịch Đô thị Sinh thái Đại Phước,"Linh Center, Vũng Tàu > Khách hàng Dự án Du lịch Đô thị Sinh thái Đại Phước",Khách hàng Dự án Du lịch Đô thị Sinh thái Đại Phước,49.315.242.992,87.832.426.940,49315242992.0,87832426940.0
Khách hàng Dự án Khu phức hợp Cap Saint Jacques,"Linh Center, Vũng Tàu > Khách hàng Dự án Khu phức hợp Cap Saint Jacques",Khách hàng Dự án Khu phức hợp Cap Saint Jacques,35.299.528.472,59.838.627.355,35299528472.0,59838627355.0
Khách hàng Dự án Khu dân cư Hiệp Phước,"Linh Center, Vũng Tàu > Khách hàng Dự án Khu dân cư Hiệp Phước",Khách hàng Dự án Khu dân cư Hiệp Phước,31.334.403.113,36.428.912.066,31334403113.0,36428912066.0
Khách hàng Dự án Chung cư Vũng Tàu Gateway,"Linh Center, Vũng Tàu > Khách hàng Dự án Chung cư Vũng Tàu Gateway",Khách hàng Dự án Chung cư Vũng Tàu Gateway,7.407.651.352,17.029.680.233,7407651352.0,17029680233.0
Khách hàng Dự án Khu căn hộ cao cấp DIC Phoenix,"Linh Center, Vũng Tàu > Khách hàng Dự án Khu căn hộ cao cấp DIC Phoenix",Khách hàng Dự án Khu căn hộ cao cấp DIC Phoenix,1.822.163.618,3.523.498.281,1822163618.0,3523498281.0
Khách hàng các dự án khác,"Linh Center, Vũng Tàu > Khách hàng các dự án khác",Khách hàng các dự án khác,27.755.701.029,32.797.579.342,27755701029.0,32797579342.0
Cộng,"Linh Center, Vũng Tàu > Cộng",Cộng,2.456.652.493.818,1.772.063.749.745,2456652493818.0,1772063749745.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Người mua trả tiền trước là Bên liên quan (Thuyết minh VIII.2),Trong đó: > Người mua trả tiền trước là Bên liên quan (Thuyết minh VIII.2),Người mua trả tiền trước là Bên liên quan (Thuyết minh VIII.2),818.784.491.947,221.169.746.120,818784491947.0,221169746120.0
