row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
,,,Tỷ lệ %,Giá gốc VND,Dự phòng VND,Tỷ lệ %,Giá gốc VND,Dự phòng VND,,,,,,
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,3.051.307.053.422,(95.312.704.648),,2.100.696.733.295,(117.420.273.924),,3051307053422.0,-95312704648.0,,2100696733295.0,-117420273924.0
Công ty Cổ phần Du lịch DIC,Công ty Cổ phần Du lịch DIC,Công ty Cổ phần Du lịch DIC,"81,29",944.498.221.388,(46.805.359.931),"78,30",784.498.221.388,(38.187.842.201),81.29,944498221388.0,-46805359931.0,78.3,784498221388.0,-38187842201.0
Công ty TNHH Đại Phước Thiên An,Công ty TNHH Đại Phước Thiên An,Công ty TNHH Đại Phước Thiên An,"99,96",1.133.538.347.100,-,"99,96",1.133.538.347.100,-,99.96,1133538347100.0,,99.96,1133538347100.0,
Công ty TNHH Đại Phước Thiên Minh,Công ty TNHH Đại Phước Thiên Minh,Công ty TNHH Đại Phước Thiên Minh,"99,99",759.000.000.000,-,-,-,-,99.99,759000000000.0,,,,
Công ty CP Đầu tư Phát triển Tầm nhìn DIC,Công ty CP Đầu tư Phát triển Tầm nhìn DIC,Công ty CP Đầu tư Phát triển Tầm nhìn DIC,"98,67",59.200.000.000,(6.618.243.129),"98,67",59.200.000.000,(3.907.275.506),98.67,59200000000.0,-6618243129.0,98.67,59200000000.0,-3907275506.0
Công ty TNHH MTV Đầu Tư Phát Triển Đô Thị và Khu,Công ty TNHH MTV Đầu Tư Phát Triển Đô Thị và Khu,Công ty TNHH MTV Đầu Tư Phát Triển Đô Thị và Khu,100,50.000.000.000,(478.313.228),100,1.700.468.233,(75.156.217),100.0,50000000000.0,-478313228.0,100.0,1700468233.0,-75156217.0
Công Nghiệp DIC,Công Nghiệp DIC,Công Nghiệp DIC,,,,,,,,,,,,
Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công Nghiệp DIC > Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,"50,14",48.932.796.574,-,"50,14",31.782.796.574,-,50.14,48932796574.0,,50.14,31782796574.0,
Công ty CP Gạch men Anh Em DIC (i),Công Nghiệp DIC > Công ty CP Gạch men Anh Em DIC (i),Công ty CP Gạch men Anh Em DIC (i),49,41.410.788.360,(41.410.788.360),"89,03",75.250.000.000,(75.250.000.000),49.0,41410788360.0,-41410788360.0,89.03,75250000000.0,-75250000000.0
