row_label_raw,row_label_full,col_0,col_1,Số cuối nămVND,Số đầu nămVND,numeric__col_1,numeric__Số cuối nămVND,numeric__Số đầu nămVND
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,414.616.436.966,6.320.211.932,,414616436966.0,6320211932.0
Công ty CP Đầu tư Phát triển,Công ty CP Đầu tư Phát triển,Công ty CP Đầu tư Phát triển,Xây dựng,401.461.923.851,-,,401461923851.0,
Phương Nam,Phương Nam,Phương Nam,Phương Nam,Phương Nam,Phương Nam,,,
Công ty Cổ phần Du lịch DIC,Phương Nam > Công ty Cổ phần Du lịch DIC,Công ty Cổ phần Du lịch DIC,Cung cấp dịch vụ,6.963.043.669,-,,6963043669.0,
Công ty CP Bất động sản D.I.C,Phương Nam > Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Cung cấp dịch vụ,6.191.469.446,6.191.469.446,,6191469446.0,6191469446.0
Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Phương Nam > Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Cung cấp dịch vụ,-,128.742.486,,,128742486.0
