row_label_raw,row_label_full,Item,Code,Note,Current year,Previous year,numeric__Code,numeric__Note,numeric__Current year,numeric__Previous year
1. Revenue from sale of goods and rendering of services,1. Revenue from sale of goods and rendering of services,1. Revenue from sale of goods and rendering of services,01,VI.1,"1,203,731,949,155","578,115,830,258",1.0,,,
2. Deductible items,2. Deductible items,2. Deductible items,02,VI.2,"228,731,455,039","11,970,029,053",2.0,,,
3. Net revenue from sale of goods and rendering of services,3. Net revenue from sale of goods and rendering of services,3. Net revenue from sale of goods and rendering of services,10,VI.3,"975,000,494,116","566,145,801,205",10.0,,,
4. Cost of goods sold,4. Cost of goods sold,4. Cost of goods sold,11,VI.4,"625,128,205,753","375,969,873,873",11.0,,,
5. Gross profit from sale of goods and rendering of services,5. Gross profit from sale of goods and rendering of services,5. Gross profit from sale of goods and rendering of services,20,,"349,872,288,363","190,175,927,332",20.0,,,
6. Financial income,6. Financial income,6. Financial income,21,VI.5,"114,572,887,886","218,194,914,618",21.0,,,
7. Financial expenses,7. Financial expenses,7. Financial expenses,22,VI.6,"(19,156,840,104)","76,113,939,079",22.0,,,
In which: Interest expense,In which: Interest expense,In which: Interest expense,23,,"22,942,261,972","57,841,451,793",23.0,,,
8. Selling expenses,8. Selling expenses,8. Selling expenses,25,VI.7,"23,809,715,983","16,333,083,533",25.0,,,
9. Administrative expenses,9. Administrative expenses,9. Administrative expenses,26,VI.8,"118,967,778,734","99,738,559,027",26.0,,,
10. Net profit from operating activities,10. Net profit from operating activities,10. Net profit from operating activities,30,,"340,824,521,636","216,185,260,311",30.0,,,
11. Other income,11. Other income,11. Other income,31,VI.9,"18,239,036,281","71,661,951,864",31.0,,,
12. Other expenses,12. Other expenses,12. Other expenses,32,VI.10,"23,795,300,864","54,705,514,157",32.0,,,
13. Other profit,13. Other profit,13. Other profit,40,,"(5,556,264,583)","16,956,437,707",40.0,,,
14. Accounting profit before tax,14. Accounting profit before tax,14. Accounting profit before tax,50,,"335,268,257,053","233,141,698,018",50.0,,,
15. Current corporate income tax expenses,15. Current corporate income tax expenses,15. Current corporate income tax expenses,51,VI.11,"70,519,526,691","47,492,831,242",51.0,,,
16. Deferred corporate income tax expenses,16. Deferred corporate income tax expenses,16. Deferred corporate income tax expenses,52,,-,-,52.0,,,
17. Profit after tax,17. Profit after tax,17. Profit after tax,60,,"264,748,730,362","185,648,866,776",60.0,,,
