row_label_raw,row_label_full,col_0,Current yearVND,Previous yearVND,numeric__Current yearVND,numeric__Previous yearVND
Fines received on contract violation,Fines received on contract violation,Fines received on contract violation,"14,522,904,076","69,641,415,280",,
Late payment,Late payment,Late payment,"2,827,977,127","1,298,852,160",,
Gain on liquidation of fixed assets,Gain on liquidation of fixed assets,Gain on liquidation of fixed assets,-,"449,739,240",,
Others,Others,Others,"888,155,078","271,945,184",,
Total,Total,Total,"18,239,036,281","71,661,951,864",,
