row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải nộptrong nămVND,Số đã thựcnộp/cấn trừtrong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải nộptrong nămVND,numeric__Số đã thựcnộp/cấn trừtrong nămVND,numeric__Số cuối nămVND
Thuế phải nộp,Thuế phải nộp,Thuế phải nộp,79.768.548.166,186.747.521.877,175.038.162.784,91.477.907.259,79768548166.0,186747521877.0,175038162784.0,91477907259.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,54.482.170.134,37.097.529.880,17.384.640.254,,54482170134.0,37097529880.0,17384640254.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,20.358.114.101,70.519.526.691,51.048.608.588,39.829.032.204,20358114101.0,70519526691.0,51048608588.0,39829032204.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,235.569.954,4.932.744.265,4.955.347.876,212.966.343,235569954.0,4932744265.0,4955347876.0,212966343.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,9.413.674,129.208.378,128.465.451,10.156.601,9413674.0,129208378.0,128465451.0,10156601.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,49.163.883.132,16.680.518.199,34.760.831.031,31.083.570.300,49163883132.0,16680518199.0,34760831031.0,31083570300.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,18.827.349,258.416.755,256.930.902,20.313.202,18827349.0,258416755.0,256930902.0,20313202.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,9.982.739.956,39.744.937.455,46.790.449.056,2.937.228.355,9982739956.0,39744937455.0,46790449056.0,2937228355.0
Thuế phải thu,Thuế phải thu,Thuế phải thu,17.212.900.543,-,7.485.425.503,24.698.326.046,17212900543.0,,7485425503.0,24698326046.0
Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,17.172.848.074,-,7.416.871.436,24.589.719.510,17172848074.0,,7416871436.0,24589719510.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,40.052.469,-,68.554.067,108.606.536,40052469.0,,68554067.0,108606536.0
