row_label_raw,row_label_full,Purpose of capital use,According to the plan (VND),Accumulated amount used until 31/12/2024 (VND),Unspent amount at the date 31/12/2024 (VND),numeric__According to the plan (VND),numeric__Accumulated amount used until 31/12/2024 (VND),numeric__Unspent amount at the date 31/12/2024 (VND)
Purpose of capital use,Purpose of capital use,Purpose of capital use,(1),(2),(3) = (1) - (2),-1.0,-2.0,
"Investment in North Vung Tau New Urban Area Project, Ward 12, Ba Ria - Vung Tau Province","Investment in North Vung Tau New Urban Area Project, Ward 12, Ba Ria - Vung Tau Province","Investment in North Vung Tau New Urban Area Project, Ward 12, Ba Ria - Vung Tau Province","749,957,000,000","654,806,827,488","95,150,172,512",,,
Pay the outstanding amount to Tan Long Investment and Development Joint Stock Company,Pay the outstanding amount to Tan Long Investment and Development Joint Stock Company,Pay the outstanding amount to Tan Long Investment and Development Joint Stock Company,"749,900,000,000","749,900,000,000",-,,,
Total,Total,Total,"1,499,857,000,000","1,404,706,827,488","95,150,172,512",,,
