row_label_raw,row_label_full,col_0,col_1,Current year VND,Previous year VND,numeric__col_1,numeric__Current year VND,numeric__Previous year VND
Remuneration of members of the Board of Management,Remuneration of members of the Board of Management,Remuneration of members of the Board of Management,Remuneration of members of the Board of Management,"4,960,500,000","5,051,666,667",,,
Mr Nguyen Thien Tuan,Remuneration of members of the Board of Management > Mr Nguyen Thien Tuan,Mr Nguyen Thien Tuan,"Chairman (Passed away on August 10, 2024)","1,098,000,000",1.950.000.000,,,1950000000.0
Mr Nguyen Hung Cuong,Remuneration of members of the Board of Management > Mr Nguyen Hung Cuong,Mr Nguyen Hung Cuong,"Chairman (From August 19, 2024)Vice Chairman (To August 19, 2024)","1,987,500,000",1.495.000.000,,,1495000000.0
Ms Nguyen Thi Thanh Huyen,Remuneration of members of the Board of Management > Ms Nguyen Thi Thanh Huyen,Ms Nguyen Thi Thanh Huyen,Vice Chairman,"1,500,000,000",1.300.000.000,,,1300000000.0
Mr Nguyen Quang Tin,Remuneration of members of the Board of Management > Mr Nguyen Quang Tin,Mr Nguyen Quang Tin,"Member (From July 21, 2023)","150,000,000",53.300.000,,,53300000.0
Mr Dinh Hong Ky,Remuneration of members of the Board of Management > Mr Dinh Hong Ky,Mr Dinh Hong Ky,"Independent Member (From July 21, 2023)","225,000,000",86.666.667,,,86666667.0
Mr Hoang Van Tang,Remuneration of members of the Board of Management > Mr Hoang Van Tang,Mr Hoang Van Tang,"Member (To July 21, 2023)",-,66.700.000,,,66700000.0
Mr Phan Van Danh,Remuneration of members of the Board of Management > Mr Phan Van Danh,Mr Phan Van Danh,"Independent Member (From January 28, 2021 to July 21, 2023)",-,100.000.000,,,100000000.0
Remuneration of members of Internal Audit,Remuneration of members of Internal Audit,Remuneration of members of Internal Audit,Remuneration of members of Internal Audit,-,-,,,
Mr Dinh Hong Ky,Mr Dinh Hong Ky,Mr Dinh Hong Ky,Chairman,-,-,,,
Ms Nguyen Thi Thanh Huyen,Ms Nguyen Thi Thanh Huyen,Ms Nguyen Thi Thanh Huyen,"Member (From September 10, 2024)",-,-,,,
Mr Nguyen Hung Cuong,Mr Nguyen Hung Cuong,Mr Nguyen Hung Cuong,"Member (To September 10, 2024)",-,-,,,
"General DirectorSalaries, bonuses and others","General DirectorSalaries, bonuses and others","General DirectorSalaries, bonuses and others","General DirectorSalaries, bonuses and others","1,861,745,579","1,639,193,170",,,
"Other managersSalaries, bonuses and others","Other managersSalaries, bonuses and others","Other managersSalaries, bonuses and others","Other managersSalaries, bonuses and others","6,419,878,337","6,105,396,953",,,
