row_label_raw,row_label_full,col_0,col_1,End of year VND,Beginning of year VND,numeric__col_1,numeric__End of year VND,numeric__Beginning of year VND
Short-term advances from customers,Short-term advances from customers,Short-term advances from customers,Short-term advances from customers,"818,784,491,947","221,169,746,120",,,
DIC Holdings Construction Joint Stock Company,DIC Holdings Construction Joint Stock Company,DIC Holdings Construction Joint Stock Company,Sale of goods and services,"767,145,022,629","172,454,594,804",,,
Development Investment Construction Number 1 JSC,Development Investment Construction Number 1 JSC,Development Investment Construction Number 1 JSC,Sale of goods and services,"48,715,151,316","48,715,151,316",,,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,Sale of goods and services,"2,924,318,002",-,,,
Other short-term payables,Other short-term payables,Other short-term payables,Other short-term payables,"213,797,839,976","261,263,400,216",,,
DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,Deposit,"101,000,000,000","106,000,000,000",,,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,Deposit,"44,636,050,000","94,636,050,000",,,
DIC Holdings Construction Joint Stock Company,DIC Holdings Construction Joint Stock Company,DIC Holdings Construction Joint Stock Company,Collection on behalf,"64,788,789,976","56,761,504,000",,,
Development Investment Construction Number 2 Joint Stock Company,Development Investment Construction Number 2 Joint Stock Company,Development Investment Construction Number 2 Joint Stock Company,Collection on behalf,"3,373,000,000","3,865,846,216",,,
