row_label_raw,row_label_full,col_0,Current year VND,Previous year VND,numeric__Current year VND,numeric__Previous year VND
Income from business cooperation contracts,Income from business cooperation contracts,Income from business cooperation contracts,-,"180,493,150,685",,
Interest income,Interest income,Interest income,"59,155,698,286","36,412,817,275",,
Profit from sale of investments,Profit from sale of investments,Profit from sale of investments,"53,250,000,000",-,,
Dividends,Dividends,Dividends,"2,167,189,600","1,067,011,500",,
Income from dissolution of subsidiaries,Income from dissolution of subsidiaries,Income from dissolution of subsidiaries,-,"216,698,198",,
Gain from foreign exchange difference,Gain from foreign exchange difference,Gain from foreign exchange difference,-,"5,236,960",,
Total,Total,Total,"114,572,887,886","218,194,914,618",,
