row_label_raw,row_label_full,col_0,End of yearVND,Beginning of yearVND,numeric__End of yearVND,numeric__Beginning of yearVND
Third parties,Third parties,Third parties,"10,370,632,925","23,129,802,849",,
LMP Investment and Trading Joint Stock Company,LMP Investment and Trading Joint Stock Company,LMP Investment and Trading Joint Stock Company,"3,847,638,707","3,569,517,667",,
Others (i),Others (i),Others (i),"6,522,994,218","19,560,285,182",,
Related parties (Note VIII.2),Related parties (Note VIII.2),Related parties (Note VIII.2),-,"186,499,974,132",,
Total,Total,Total,"10,370,632,925","209,629,776,981",,
