row_label_raw,row_label_full,col_0,Current year VND,Previous year VND,numeric__Current year VND,numeric__Previous year VND
Interest expenses,Interest expenses,Interest expenses,"22,942,261,972","57,841,451,793",,
Loss from liquidation of financial investments,Loss from liquidation of financial investments,Loss from liquidation of financial investments,-,"40,396,791,703",,
Bond issuance expenses,Bond issuance expenses,Bond issuance expenses,-,"19,427,375,083",,
Reversal of provision for investments,Reversal of provision for investments,Reversal of provision for investments,"(42,107,569,276)","(41,597,573,708)",,
Loss of foreign exchange difference,Loss of foreign exchange difference,Loss of foreign exchange difference,-,"45,894,208",,
Other expenses,Other expenses,Other expenses,"8,467,200",-,,
Total,Total,Total,"(19,156,840,104)","76,113,939,079",,
