row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
Ngắn hạn,Ngắn hạn,Ngắn hạn,2.931.825.483.579,2.874.414.684.688,2931825483579.0,2874414684688.0
Nhận đặt cọc chuyển nhượng dự án,Nhận đặt cọc chuyển nhượng dự án,Nhận đặt cọc chuyển nhượng dự án,2.365.627.002.500,2.191.282.100.000,2365627002500.0,2191282100000.0
"Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",290.324.944.800,317.230.177.500,290324944800.0,317230177500.0
Lợi nhuận được chia từ hợp tác kinh doanh,Lợi nhuận được chia từ hợp tác kinh doanh,Lợi nhuận được chia từ hợp tác kinh doanh,136.388.584.457,136.388.584.457,136388584457.0,136388584457.0
"Lệ phí trước bạ, quỹ bào trì chung cư (i)","Lệ phí trước bạ, quỹ bào trì chung cư (i)","Lệ phí trước bạ, quỹ bào trì chung cư (i)",32.308.365.792,74.437.246.897,32308365792.0,74437246897.0
"Chi phí đến bù, giải tỏa phải trả","Chi phí đến bù, giải tỏa phải trả","Chi phí đến bù, giải tỏa phải trả",19.990.483.579,21.634.323.726,19990483579.0,21634323726.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,1.026.563.802,1.027.750.827,1026563802.0,1027750827.0
Phải trả khác,Phải trả khác,Phải trả khác,86.159.538.649,132.414.501.281,86159538649.0,132414501281.0
Dài hạn,Dài hạn,Dài hạn,19.596.218.672,19.600.000.000,19596218672.0,19600000000.0
Nhận hợp tác đầu tư các dự án bất động sản (ii),Nhận hợp tác đầu tư các dự án bất động sản (ii),Nhận hợp tác đầu tư các dự án bất động sản (ii),19.596.218.672,19.600.000.000,19596218672.0,19600000000.0
Cộng,Cộng,Cộng,2.951.421.702.251,2.894.014.684.688,2951421702251.0,2894014684688.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả khác là Bên liên quan (Thuyết minh VIII.2),Trong đó: > Phải trả khác là Bên liên quan (Thuyết minh VIII.2),Phải trả khác là Bên liên quan (Thuyết minh VIII.2),213.797.839.976,261.263.400.216,213797839976.0,261263400216.0
