row_label_raw,row_label_full,col_0,col_1,End of year VND,Beginning of year VND,numeric__col_1,numeric__End of year VND,numeric__Beginning of year VND
Short-term advances to suppliers,Short-term advances to suppliers,Short-term advances to suppliers,Short-term advances to suppliers,-,"186,499,974,132",,,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Advance for Project,-,"186,499,974,132",,,
Loan receivables,Loan receivables,Loan receivables,Loan receivables,"423,881,599,516","292,850,000,000",,,
Short-term,Short-term,Short-term,Short-term,"168,681,599,516","292,850,000,000",,,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Lending,"167,564,637,167","240,350,000,000",,,
Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,Lending,"1,116,962,349","52,500,000,000",,,
Long-term,Long-term,Long-term,Long-term,"255,200,000,000",-,,,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Lending,"171,200,000,000",-,,,
Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,Lending,"84,000,000,000",-,,,
Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,"1,236,534,182,060","599,690,314,664",,,
Mr Nguyen Hung Cuong (representative of the Board of Management),Mr Nguyen Hung Cuong (representative of the Board of Management),Mr Nguyen Hung Cuong (representative of the Board of Management),Advance payment for compensation and site clearance of Long Tan project,"904,000,000,000","403,440,000,000",,,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Payment on behalf,"56,630,052,035","26,964,235,792",,,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Lending interest,"9,491,780,822","57,004,592,371",,,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Deposit,"79,863,293,821","82,306,078,333",,,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Other,"186,499,974,132",-,,,
Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,Lending interest,-,"29,117,902,075",,,
DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,Payment on behalf,"29,081,250",-,,,
DIC Urban and Industrial zone Development Company Limited,DIC Urban and Industrial zone Development Company Limited,DIC Urban and Industrial zone Development Company Limited,Payment on behalf,-,"807,506,093",,,
DIC Holdings Construction Joint Stock Company,DIC Holdings Construction Joint Stock Company,DIC Holdings Construction Joint Stock Company,Payment on behalf,-,"30,000,000",,,
Dai Phuoc Thien An Company Limited,Dai Phuoc Thien An Company Limited,Dai Phuoc Thien An Company Limited,Payment on behalf,"20,000,000","20,000,000",,,
Short-term trade payables,Short-term trade payables,Short-term trade payables,Short-term trade payables,"329,708,426,405","370,650,070,764",,,
DIC Holdings Construction Joint Stock Company,DIC Holdings Construction Joint Stock Company,DIC Holdings Construction Joint Stock Company,Construction cost,"243,252,056,228","110,346,045,083",,,
Development Investment Construction Number 2 Joint Stock Company,Development Investment Construction Number 2 Joint Stock Company,Development Investment Construction Number 2 Joint Stock Company,Construction cost,"44,010,821,552","85,652,711,720",,,
Development Investment Construction Number 1 JSC,Development Investment Construction Number 1 JSC,Development Investment Construction Number 1 JSC,Construction cost,"34,294,681,628","34,568,480,982",,,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,Brokerage expenses,"5,125,226,329","19,284,216,110",,,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Services expenses,"182,146,263","169,164,574",,,
DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,Transfer of investment,"2,843,494,405","120,629,452,295",,,
