row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,774.309.723.143,557.215.357.825,774309723143.0,557215357825.0
Doanh thu xây dựng,Doanh thu xây dựng,Doanh thu xây dựng,415.299.733.646,-,415299733646.0,
Doanh thu bất động sản đầu tư cho thuê,Doanh thu bất động sản đầu tư cho thuê,Doanh thu bất động sản đầu tư cho thuê,3.374.235.992,3.374.235.992,3374235992.0,3374235992.0
Doanh thu cung cấp dịch vụ khác,Doanh thu cung cấp dịch vụ khác,Doanh thu cung cấp dịch vụ khác,10.748.256.374,17.526.236.441,10748256374.0,17526236441.0
Cộng,Cộng,Cộng,1.203.731.949.155,578.115.830.258,1203731949155.0,578115830258.0
