row_label_raw,row_label_full,The Board of Management,The Board of Management_1,The Board of Management_2,numeric__The Board of Management_1,numeric__The Board of Management_2
Mr Nguyen Hung Cuong,Mr Nguyen Hung Cuong,Mr Nguyen Hung Cuong,Chairman,"(From August 19, 2024)",,
Mr Nguyen Thien Tuan,Mr Nguyen Thien Tuan,Mr Nguyen Thien Tuan,Chairman,"(Passed away on August 10, 2024)",,
Mr Nguyen Hung Cuong,Mr Nguyen Hung Cuong,Mr Nguyen Hung Cuong,Permanent Vice Chairman,"(To August 19, 2024)",,
Ms Nguyen Thi Thanh Huyen,Ms Nguyen Thi Thanh Huyen,Ms Nguyen Thi Thanh Huyen,Vice Chairman,,,
Mr Nguyen Quang Tin,Mr Nguyen Quang Tin,Mr Nguyen Quang Tin,Member,,,
Mr Dinh Hong Ky,Mr Dinh Hong Ky,Mr Dinh Hong Ky,Independent Member,,,
The Board of Directors,The Board of Directors,The Board of Directors,The Board of Directors,The Board of Directors,,
Mr Nguyen Quang Tin,Mr Nguyen Quang Tin,Mr Nguyen Quang Tin,General Director,,,
Mr Nguyen Van Tung,Mr Nguyen Van Tung,Mr Nguyen Van Tung,Deputy General Director,,,
Mr Nguyen Tuan Liem,Mr Nguyen Tuan Liem,Mr Nguyen Tuan Liem,Deputy General Director,,,
Mr Tran Van Dat,Mr Tran Van Dat,Mr Tran Van Dat,Deputy General Director,,,
Mr Pham Van Thai,Mr Pham Van Thai,Mr Pham Van Thai,Deputy General Director,,,
Internal Audit,Internal Audit,Internal Audit,Internal Audit,Internal Audit,,
Mr Dinh Hong Ky,Mr Dinh Hong Ky,Mr Dinh Hong Ky,Chairman,,,
Ms Nguyen Thi Thanh Huyen,Ms Nguyen Thi Thanh Huyen,Ms Nguyen Thi Thanh Huyen,Member,"(From September 10, 2024)",,
Mr Nguyen Hung Cuong,Mr Nguyen Hung Cuong,Mr Nguyen Hung Cuong,Member,"(To September 10, 2024)",,
