row_label_raw,row_label_full,ASSETS,Code,Note,End of year,Beginning of year,numeric__Code,numeric__Note,numeric__End of year,numeric__Beginning of year
A. CURRENT ASSETS,A. CURRENT ASSETS,A. CURRENT ASSETS,100,,"13,563,530,667,855","12,251,224,637,229",100.0,,,
I. Cash and cash equivalents,I. Cash and cash equivalents,I. Cash and cash equivalents,110,V.1,"746,853,302,518","2,199,766,875,022",110.0,,,
1. Cash,1. Cash,1. Cash,111,,"353,392,278,094","2,189,898,549,782",111.0,,,
2. Cash equivalents,2. Cash equivalents,2. Cash equivalents,112,,"393,461,024,424","9,868,325,240",112.0,,,
II. Short-term investments,II. Short-term investments,II. Short-term investments,120,,"856,900,000,000","127,910,000,000",120.0,,,
1. Held-to-maturity investments,1. Held-to-maturity investments,1. Held-to-maturity investments,123,V.2a,"856,900,000,000","127,910,000,000",123.0,,,
III. Short-term accounts receivables,III. Short-term accounts receivables,III. Short-term accounts receivables,130,,"5,694,657,217,812","4,489,748,205,455",130.0,,,
1. Short-term trade receivables,1. Short-term trade receivables,1. Short-term trade receivables,131,V.3,"1,033,275,651,326","819,716,346,027",131.0,,,
2. Short-term advances to suppliers,2. Short-term advances to suppliers,2. Short-term advances to suppliers,132,V.4,"10,370,632,925","209,629,776,981",132.0,,,
3. Short-term loan receivables,3. Short-term loan receivables,3. Short-term loan receivables,135,V.5,"168,681,599,516","292,850,000,000",135.0,,,
4. Other short-term receivables,4. Other short-term receivables,4. Other short-term receivables,136,V.6,"4,482,460,803,601","3,182,394,039,351",136.0,,,
5. Provision for doubtful short-term receivables,5. Provision for doubtful short-term receivables,5. Provision for doubtful short-term receivables,137,V.7,"(131,469,556)","(14,841,956,904)",137.0,,,
IV. Inventories,IV. Inventories,IV. Inventories,140,V.8,"6,072,894,379,906","5,236,751,441,631",140.0,,,
1. Inventories,1. Inventories,1. Inventories,141,,"6,072,894,379,906","5,236,751,441,631",141.0,,,
V. Other current assets,V. Other current assets,V. Other current assets,150,,"192,225,767,619","197,048,115,121",150.0,,,
1. Short-term prepaid expenses,1. Short-term prepaid expenses,1. Short-term prepaid expenses,151,V.9,"166,961,832,844","166,691,629,099",151.0,,,
2. VAT deductibles,2. VAT deductibles,2. VAT deductibles,152,,"565,608,729","13,143,585,479",152.0,,,
3. Tax and other receivables from the State,3. Tax and other receivables from the State,3. Tax and other receivables from the State,153,V.15,"24,698,326,046","17,212,900,543",153.0,,,
B. NON- CURRENT ASSETS,B. NON- CURRENT ASSETS,B. NON- CURRENT ASSETS,200,,"3,784,855,168,820","3,873,274,056,330",200.0,,,
I. Long-term receivables,I. Long-term receivables,I. Long-term receivables,210,,"335,199,999,999","1,381,153,760,509",210.0,,,
1. Long -term loan receivables,1. Long -term loan receivables,1. Long -term loan receivables,215,V.5,"255,200,000,000",-,215.0,,,
2. Other long-term receivables,2. Other long-term receivables,2. Other long-term receivables,216,V.6,"79,999,999,999","1,381,153,760,509",216.0,,,
II. Fixed assets,II. Fixed assets,II. Fixed assets,220,,"141,779,330,751","148,900,181,999",220.0,,,
1. Tangible fixed assets,1. Tangible fixed assets,1. Tangible fixed assets,221,V.10,"137,213,324,680","145,247,186,170",221.0,,,
- Cost,- Cost,- Cost,222,,"188,039,504,467","188,964,845,274",222.0,,,
- Accumulated depreciation,- Accumulated depreciation,- Accumulated depreciation,223,,"(50,826,179,787)","(43,717,659,104)",223.0,,,
2. Intangible fixed assets,2. Intangible fixed assets,2. Intangible fixed assets,227,V.11,"4,566,006,071","3,652,995,829",227.0,,,
- Cost,- Cost,- Cost,228,,"4,939,407,600","3,929,239,600",228.0,,,
- Accumulated depreciation,- Accumulated depreciation,- Accumulated depreciation,229,,"(373,401,529)","(276,243,771)",229.0,,,
III. Investment properties,III. Investment properties,III. Investment properties,230,V.12,"97,989,206,684","100,878,323,336",230.0,,,
- Cost,- Cost,- Cost,231,,"144,455,832,878","144,455,832,878",231.0,,,
- Accumulated depreciation,- Accumulated depreciation,- Accumulated depreciation,232,,"(46,466,626,194)","(43,577,509,542)",232.0,,,
