row_label_raw,row_label_full,"- The interest rate applied for the first 2 (12-month) interest payment periods is 11.25%/year, the following interest periods are calculated as: the sum of (i) 4%/year and (ii) Interest rate of deposit of HDBank's individual customers pay after 12 months as at the interest rate determination date. This mobilization is guaranteed by all assets, assets rights and existing and future rights from the investment, development, exploitation and consumption of products at the ""Long Tan Tourist Urban Area Project"" with an area about 331.9 ha, in Long Tan commune and Phu Thanh commune, Nhon Trach district, Dong Nai province, owned by the DIC Group."
"- The amount of 600,000,000,000 VND collected from the private bond issuance of bond code DIGH2326001 was used to implement the Long Tan Tourist Urban Area Project in Long Tan commune and Phu Thanh commune, Nhon Trach district, Dong Nai province in accordance with the bond issuance purpose.","- The amount of 600,000,000,000 VND collected from the private bond issuance of bond code DIGH2326001 was used to implement the Long Tan Tourist Urban Area Project in Long Tan commune and Phu Thanh commune, Nhon Trach district, Dong Nai province in accordance with the bond issuance purpose.","- The amount of 600,000,000,000 VND collected from the private bond issuance of bond code DIGH2326001 was used to implement the Long Tan Tourist Urban Area Project in Long Tan commune and Phu Thanh commune, Nhon Trach district, Dong Nai province in accordance with the bond issuance purpose."
"2. Bond DIGH2326002: total value of 1,000,000,000,000 VND, term of 36 months, issued on March 25, 2024, maturity on March 25, 2027.","2. Bond DIGH2326002: total value of 1,000,000,000,000 VND, term of 36 months, issued on March 25, 2024, maturity on March 25, 2027.","2. Bond DIGH2326002: total value of 1,000,000,000,000 VND, term of 36 months, issued on March 25, 2024, maturity on March 25, 2027."
"- The interest rate applied for the first 2 (12-month) interest payment periods is 11.25%/year, the following interest periods are calculated as: the sum of (i) 4%/year and (ii) Interest rate of deposit of HDBank's individual customers pay after 12 months as at the interest rate determination date. This mobilization is guaranteed by all assets, assets rights and existing and future rights from the investment, development, exploitation and consumption of products at the ""Long Tan Tourist Urban Area Project"" with an area about 331.9 ha, in Long Tan commune and Phu Thanh commune, Nhon Trach district, Dong Nai province, owned by the DIC Group.","- The interest rate applied for the first 2 (12-month) interest payment periods is 11.25%/year, the following interest periods are calculated as: the sum of (i) 4%/year and (ii) Interest rate of deposit of HDBank's individual customers pay after 12 months as at the interest rate determination date. This mobilization is guaranteed by all assets, assets rights and existing and future rights from the investment, development, exploitation and consumption of products at the ""Long Tan Tourist Urban Area Project"" with an area about 331.9 ha, in Long Tan commune and Phu Thanh commune, Nhon Trach district, Dong Nai province, owned by the DIC Group.","- The interest rate applied for the first 2 (12-month) interest payment periods is 11.25%/year, the following interest periods are calculated as: the sum of (i) 4%/year and (ii) Interest rate of deposit of HDBank's individual customers pay after 12 months as at the interest rate determination date. This mobilization is guaranteed by all assets, assets rights and existing and future rights from the investment, development, exploitation and consumption of products at the ""Long Tan Tourist Urban Area Project"" with an area about 331.9 ha, in Long Tan commune and Phu Thanh commune, Nhon Trach district, Dong Nai province, owned by the DIC Group."
"- The amount of money used to implement the Long Tan Tourist Urban Area Project in Long Tan and Phu Thanh communes, Nhon Trach district, Dong Nai province according to the issuance purpose was 54,747,469,000 VND.","- The amount of money used to implement the Long Tan Tourist Urban Area Project in Long Tan and Phu Thanh communes, Nhon Trach district, Dong Nai province according to the issuance purpose was 54,747,469,000 VND.","- The amount of money used to implement the Long Tan Tourist Urban Area Project in Long Tan and Phu Thanh communes, Nhon Trach district, Dong Nai province according to the issuance purpose was 54,747,469,000 VND."
"- The amount of 945,252,531,000 VND that has not been fully used, DIC Group is being monitored in a bond account at Ho Chi Minh City Development Joint Stock Commercial Bank","- The amount of 945,252,531,000 VND that has not been fully used, DIC Group is being monitored in a bond account at Ho Chi Minh City Development Joint Stock Commercial Bank","- The amount of 945,252,531,000 VND that has not been fully used, DIC Group is being monitored in a bond account at Ho Chi Minh City Development Joint Stock Commercial Bank"
