row_label_raw,row_label_full,col_0,Land use rights,Computer software,Unit: VND Total,numeric__Land use rights,numeric__Computer software,numeric__Unit: VND Total
Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,,,
Opening balance,Opening balance,Opening balance,"3,689,239,600","240,000,000","3,929,239,600",,,
Purchases,Purchases,Purchases,-,"1,010,168,000","1,010,168,000",,,
Closing balance,Closing balance,Closing balance,"3,689,239,600","1,250,168,000","4,939,407,600",,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,
Opening balance,Opening balance,Opening balance,"262,802,912","13,440,859","276,243,771",,,
Depreciation,Depreciation,Depreciation,"16,425,180","80,732,578","97,157,758",,,
Closing balance,Closing balance,Closing balance,"279,228,092","94,173,437","373,401,529",,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,
Opening,Opening,Opening,"3,426,436,688","226,559,141","3,652,995,829",,,
Closing,Closing,Closing,"3,410,011,508","1,155,994,563","4,566,006,071",,,
