row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Short-term,Short-term,Short-term,"2,931,825,483,579","2,874,414,684,688",,
Deposit for sales of project,Deposit for sales of project,Deposit for sales of project,"2,365,627,002,500","2,191,282,100,000",,
Deposit,Deposit,Deposit,"290,324,944,800","317,230,177,500",,
Profit sharing from BCC,Profit sharing from BCC,Profit sharing from BCC,"136,388,584,457","136,388,584,457",,
Registration fee and maintenance fund (i),Registration fee and maintenance fund (i),Registration fee and maintenance fund (i),"32,308,365,792","74,437,246,897",,
Compensation payables,Compensation payables,Compensation payables,"19,990,483,579","21,634,323,726",,
Dividend,Dividend,Dividend,"1,026,563,802","1,027,750,827",,
Others,Others,Others,"86,159,538,649","132,414,501,281",,
Long-term,Long-term,Long-term,"19,596,218,672","19,600,000,000",,
Capital contribution from Business Cooperation contracts (ii),Capital contribution from Business Cooperation contracts (ii),Capital contribution from Business Cooperation contracts (ii),"19,596,218,672","19,600,000,000",,
Total,Total,Total,"2,951,421,702,251","2,894,014,684,688",,
In which:,In which:,In which:,,,,
Payables to related parties (Note VIII.2),Payables to related parties (Note VIII.2),Payables to related parties (Note VIII.2),"213,797,839,976","261,263,400,216",,
